Data	Codigo_Atendimento	Código Marca	Marca	Código Modelo	Modelo	Código Defeito	Defeito	Código Grupo Defeito	Grupo Defeito
20/02/2019	TC125505	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
23/04/2019	TC125507	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
20/08/2019	TC125507	2	Motorola	2	Moto G8 Play	2	Microfone	2	Microfone
26/03/2019	TC125599	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
18/08/2019	TC125599	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
09/01/2019	TC125733	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
12/08/2019	TC125733	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
19/06/2019	TC125778	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
13/09/2019	TC125778	2	Motorola	5	One Hyper	3	Sem Sinal de Celular	3	Sem sinal
21/08/2019	TC125799	2	Motorola	7	Moto E6 PLUS	8	Botão De Power	7	Botões
13/01/2019	TC125799	2	Motorola	7	Moto E6 PLUS	9	Carcaça Quebrada	8	Carcaça
02/08/2019	TC125799	2	Motorola	7	Moto E6 PLUS	3	Sem Sinal de Celular	3	Sem sinal
08/07/2019	TC125870	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
03/03/2019	TC125925	1	Apple	9	Iphone 7	10	Capa dianteira	8	Carcaça
28/01/2019	TC125925	1	Apple	9	Iphone 7	5	Não Liga	5	Não Liga
25/03/2019	TC125946	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
05/06/2019	TC125946	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
18/06/2019	TC126028	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
11/10/2019	TC126124	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
31/05/2019	TC126183	2	Motorola	7	Moto E6 PLUS	14	Botão De Aumentar Volume	7	Botões
24/10/2019	TC126183	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
31/05/2019	TC126183	2	Motorola	7	Moto E6 PLUS	3	Sem Sinal de Celular	3	Sem sinal
17/09/2019	TC126228	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
25/09/2019	TC126274	4	Xiaomi	8	Redmi Note 8	6	Auto Falante Dianteiro	4	Auto Falante
20/05/2019	TC126328	3	Samsung	4	Galaxy A70	6	Auto Falante Dianteiro	4	Auto Falante
24/02/2019	TC126328	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
31/08/2019	TC126328	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
23/05/2019	TC126328	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
11/08/2019	TC126400	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
11/10/2019	TC126400	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
01/06/2019	TC126465	2	Motorola	2	Moto G8 Play	6	Auto Falante Dianteiro	4	Auto Falante
07/10/2019	TC126465	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
27/10/2019	TC126465	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
01/05/2019	TC126582	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
17/02/2019	TC126582	1	Apple	1	Iphone 5s	3	Sem Sinal de Celular	3	Sem sinal
14/04/2019	TC126620	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
20/04/2019	TC126704	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
05/08/2019	TC126796	2	Motorola	7	Moto E6 PLUS	4	Auto Falante Viva-Voz	4	Auto Falante
19/09/2019	TC126796	2	Motorola	7	Moto E6 PLUS	4	Auto Falante Viva-Voz	4	Auto Falante
03/01/2019	TC126796	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
01/04/2019	TC126863	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
02/04/2019	TC126863	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
20/02/2019	TC126921	3	Samsung	4	Galaxy A70	6	Auto Falante Dianteiro	4	Auto Falante
14/01/2019	TC126952	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
08/05/2019	TC126952	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
27/07/2019	TC127011	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
27/05/2019	TC127011	3	Samsung	4	Galaxy A70	9	Carcaça Quebrada	8	Carcaça
07/02/2019	TC127011	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
12/06/2019	TC127040	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
11/03/2019	TC127063	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
26/07/2019	TC127063	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
17/07/2019	TC127072	3	Samsung	4	Galaxy A70	7	Lente Camera Traseira	6	Câmera
25/01/2019	TC127072	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
25/08/2019	TC127092	1	Apple	9	Iphone 7	13	Capa Traseira	8	Carcaça
04/08/2019	TC127092	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
08/02/2019	TC127092	1	Apple	9	Iphone 7	5	Não Liga	5	Não Liga
03/09/2019	TC127144	4	Xiaomi	8	Redmi Note 8	12	Lente Câmera Dianteira	6	Câmera
09/04/2019	TC127144	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
20/01/2019	TC127151	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
05/09/2019	TC127159	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
14/03/2019	TC127324	2	Motorola	2	Moto G8 Play	9	Carcaça Quebrada	8	Carcaça
02/05/2019	TC127386	4	Xiaomi	8	Redmi Note 8	1	Display Quebrado	1	Display
01/05/2019	TC127386	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
26/04/2019	TC127400	1	Apple	9	Iphone 7	6	Auto Falante Dianteiro	4	Auto Falante
13/06/2019	TC127485	4	Xiaomi	6	Mi 9T	4	Auto Falante Viva-Voz	4	Auto Falante
26/01/2019	TC127485	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
11/01/2019	TC127509	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
15/01/2019	TC127548	1	Apple	9	Iphone 7	9	Carcaça Quebrada	8	Carcaça
26/03/2019	TC127640	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
07/06/2019	TC127640	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
17/01/2019	TC127640	3	Samsung	3	Galaxy S9	2	Microfone	2	Microfone
24/08/2019	TC127665	1	Apple	1	Iphone 5s	5	Não Liga	5	Não Liga
25/01/2019	TC127722	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
08/02/2019	TC127722	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
22/05/2019	TC127722	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
03/08/2019	TC127722	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
10/09/2019	TC127807	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
22/10/2019	TC127807	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
18/02/2019	TC127807	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
16/07/2019	TC127807	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
03/10/2019	TC127807	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
28/02/2019	TC127815	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
14/07/2019	TC127815	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
04/10/2019	TC127876	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
06/04/2019	TC127876	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
07/07/2019	TC127876	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
18/01/2019	TC127884	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
20/08/2019	TC127896	4	Xiaomi	6	Mi 9T	4	Auto Falante Viva-Voz	4	Auto Falante
16/01/2019	TC127896	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
25/04/2019	TC127907	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
09/07/2019	TC127924	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
28/09/2019	TC127931	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
31/03/2019	TC127931	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
10/06/2019	TC127931	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
02/10/2019	TC128329	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
28/06/2019	TC128694	2	Motorola	5	One Hyper	6	Auto Falante Dianteiro	4	Auto Falante
30/07/2019	TC128694	2	Motorola	5	One Hyper	14	Botão De Aumentar Volume	7	Botões
27/04/2019	TC128694	2	Motorola	5	One Hyper	12	Lente Câmera Dianteira	6	Câmera
26/04/2019	TC128694	2	Motorola	5	One Hyper	3	Sem Sinal de Celular	3	Sem sinal
13/05/2019	TC128732	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
16/04/2019	TC128732	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
28/08/2019	TC128736	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
20/07/2019	TC128737	2	Motorola	5	One Hyper	10	Capa dianteira	8	Carcaça
24/09/2019	TC128737	2	Motorola	5	One Hyper	3	Sem Sinal de Celular	3	Sem sinal
04/10/2019	TC128793	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
23/07/2019	TC128830	2	Motorola	7	Moto E6 PLUS	6	Auto Falante Dianteiro	4	Auto Falante
11/09/2019	TC128958	3	Samsung	3	Galaxy S9	11	Botão de Diminuir Volume	7	Botões
10/09/2019	TC128958	3	Samsung	3	Galaxy S9	2	Microfone	2	Microfone
21/02/2019	TC128958	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
23/06/2019	TC129152	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
21/06/2019	TC129152	4	Xiaomi	6	Mi 9T	4	Auto Falante Viva-Voz	4	Auto Falante
11/04/2019	TC129210	1	Apple	9	Iphone 7	2	Microfone	2	Microfone
30/03/2019	TC129219	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
24/03/2019	TC129219	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
04/05/2019	TC129219	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
13/05/2019	TC129226	2	Motorola	2	Moto G8 Play	13	Capa Traseira	8	Carcaça
06/10/2019	TC129344	3	Samsung	3	Galaxy S9	6	Auto Falante Dianteiro	4	Auto Falante
14/07/2019	TC129344	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
21/01/2019	TC129368	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
26/06/2019	TC129368	1	Apple	9	Iphone 7	5	Não Liga	5	Não Liga
14/05/2019	TC129368	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
30/10/2019	TC129373	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
25/10/2019	TC129406	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
14/03/2019	TC129467	4	Xiaomi	8	Redmi Note 8	2	Microfone	2	Microfone
30/10/2019	TC129467	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
18/09/2019	TC129589	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
26/02/2019	TC129602	4	Xiaomi	8	Redmi Note 8	6	Auto Falante Dianteiro	4	Auto Falante
23/03/2019	TC129602	4	Xiaomi	8	Redmi Note 8	13	Capa Traseira	8	Carcaça
23/05/2019	TC129602	4	Xiaomi	8	Redmi Note 8	2	Microfone	2	Microfone
12/03/2019	TC129668	1	Apple	9	Iphone 7	13	Capa Traseira	8	Carcaça
02/02/2019	TC129668	1	Apple	9	Iphone 7	5	Não Liga	5	Não Liga
21/02/2019	TC129705	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
02/01/2019	TC129725	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
01/06/2019	TC129725	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
05/06/2019	TC129775	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
16/03/2019	TC129834	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
13/04/2019	TC129850	4	Xiaomi	6	Mi 9T	7	Lente Camera Traseira	6	Câmera
06/06/2019	TC129850	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
22/07/2019	TC129870	2	Motorola	5	One Hyper	6	Auto Falante Dianteiro	4	Auto Falante
28/01/2019	TC129870	2	Motorola	5	One Hyper	4	Auto Falante Viva-Voz	4	Auto Falante
04/06/2019	TC129870	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
04/10/2019	TC129902	1	Apple	1	Iphone 5s	5	Não Liga	5	Não Liga
17/04/2019	TC129902	1	Apple	1	Iphone 5s	3	Sem Sinal de Celular	3	Sem sinal
04/03/2019	TC129956	2	Motorola	5	One Hyper	4	Auto Falante Viva-Voz	4	Auto Falante
02/01/2019	TC130256	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
07/03/2019	TC130428	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
24/07/2019	TC130428	1	Apple	1	Iphone 5s	3	Sem Sinal de Celular	3	Sem sinal
21/01/2019	TC130432	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
05/03/2019	TC130432	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
29/04/2019	TC130432	4	Xiaomi	6	Mi 9T	11	Botão de Diminuir Volume	7	Botões
16/01/2019	TC130432	4	Xiaomi	6	Mi 9T	8	Botão De Power	7	Botões
24/04/2019	TC130432	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
16/03/2019	TC130432	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
28/04/2019	TC130432	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
17/05/2019	TC130444	1	Apple	9	Iphone 7	9	Carcaça Quebrada	8	Carcaça
23/06/2019	TC130644	4	Xiaomi	6	Mi 9T	4	Auto Falante Viva-Voz	4	Auto Falante
10/05/2019	TC130644	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
27/04/2019	TC130651	3	Samsung	4	Galaxy A70	10	Capa dianteira	8	Carcaça
10/06/2019	TC130651	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
21/01/2019	TC130668	4	Xiaomi	8	Redmi Note 8	13	Capa Traseira	8	Carcaça
03/05/2019	TC130746	3	Samsung	3	Galaxy S9	9	Carcaça Quebrada	8	Carcaça
15/05/2019	TC130770	1	Apple	9	Iphone 7	10	Capa dianteira	8	Carcaça
12/10/2019	TC130828	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
21/10/2019	TC130828	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
12/08/2019	TC130848	2	Motorola	2	Moto G8 Play	6	Auto Falante Dianteiro	4	Auto Falante
05/09/2019	TC130848	2	Motorola	2	Moto G8 Play	6	Auto Falante Dianteiro	4	Auto Falante
06/09/2019	TC130848	2	Motorola	2	Moto G8 Play	9	Carcaça Quebrada	8	Carcaça
05/01/2019	TC130875	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
06/07/2019	TC130951	4	Xiaomi	8	Redmi Note 8	1	Display Quebrado	1	Display
22/05/2019	TC130973	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
19/07/2019	TC131097	3	Samsung	4	Galaxy A70	6	Auto Falante Dianteiro	4	Auto Falante
26/03/2019	TC131097	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
02/06/2019	TC131128	2	Motorola	2	Moto G8 Play	6	Auto Falante Dianteiro	4	Auto Falante
01/09/2019	TC131128	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
21/04/2019	TC131293	1	Apple	9	Iphone 7	4	Auto Falante Viva-Voz	4	Auto Falante
13/07/2019	TC131341	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
24/08/2019	TC131341	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
18/07/2019	TC131341	2	Motorola	5	One Hyper	3	Sem Sinal de Celular	3	Sem sinal
27/10/2019	TC131371	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
28/02/2019	TC131389	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
29/07/2019	TC131389	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
09/03/2019	TC131389	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
13/06/2019	TC131389	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
23/02/2019	TC131432	2	Motorola	5	One Hyper	6	Auto Falante Dianteiro	4	Auto Falante
14/01/2019	TC131432	2	Motorola	5	One Hyper	9	Carcaça Quebrada	8	Carcaça
15/09/2019	TC131496	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
27/04/2019	TC131496	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
01/04/2019	TC131572	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
30/06/2019	TC131572	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
11/10/2019	TC131646	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
05/07/2019	TC131707	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
06/02/2019	TC131708	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
06/06/2019	TC131708	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
20/04/2019	TC131852	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
23/06/2019	TC132023	2	Motorola	2	Moto G8 Play	9	Carcaça Quebrada	8	Carcaça
15/08/2019	TC132023	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
20/01/2019	TC132092	2	Motorola	7	Moto E6 PLUS	4	Auto Falante Viva-Voz	4	Auto Falante
28/06/2019	TC132210	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
17/09/2019	TC132210	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
13/02/2019	TC132311	3	Samsung	3	Galaxy S9	2	Microfone	2	Microfone
31/10/2019	TC132334	4	Xiaomi	6	Mi 9T	13	Capa Traseira	8	Carcaça
