Id;habit_tipo;habit_zona_tipo;lote_testada;lote_area;rua_acesso_tipo;acesso_jardim_tipo;lote_formato;lote_topografia;servicos_publicos;lote_configuracao;lote_declive;bairro;habitacao_tipo;habitacao_estilo;acabamento_nivel;condicao_geral;construcao_ano;reforma_estrutural_ano;telhado_ipo;telhado_material;exterior_revestimento;exterior_revestimento_2;alvenaria_cobertura;alvenaria_area;exterior_mat_qualidade;exterior_condicao;tipo_fundacao;porao_altura_qualidade;porao_estado_geral;parede_jardim_estado;porao_espaco_qualidade;area_construida;area_finulllizada_qualidade;metros_acabados_2;area_inacabada_porao;porao_area_total;aquecimento_tipo;aquecimento_qualidade;ar_condicionado_central;sistema_eletrico;area_andar_1;area_andar_2;area_quadrada_baixa_qualidade;area_habitavel;quantidade_banheiro_porao;quantidade_lavabo_porao;quantidade_banheiros_completos;quantidade_lavabos;quantidade_quartos;quantidade_cozinha;cozinha_qualidade;quartos_quantidade;Functional;lareira_quantidade;lareira_qualidade;condicao_1;condicao_2;garagem_tipo;garagem_ano_construcao;garagem_acabamento;garagem_carros;garagem_area;garagem_qualidade;garagem_condicao;rua_Parcialavimento;deck_area;varanda_aberta_area;varanda_fechada_area;varanda_inverno_area;varanda_verao_area;piscina_area;piscina_qualidade;cerca;recursos_extras;recursos_extras_valor;venda_mes;venda_ano;venda_tipo;venda_condicao;venda_preco
4;70;Residencial Baixa Densidade;60;9550;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Esquina;Suave;Bigurrilho;1Fam;2Story;7;5;1915;1970;Empenado;Telha Padrão;Revestimento de madeira;Telhas de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Bom;Sem Exposiçao;Alojamento mediano;216;inacabado;0;540;756;Gás;Bom;sim;SBrkr;961;756;0;1717;1;0;1;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Separado da casa;1998;Inacabado;3;642;Média;Média;Parcialavimentado;0;35;272;0;0;0;null;null;null;0;2;2006;Termo de Garantia - 15% de entradavencional;Anormal;140000
4;70;Residencial Baixa Densidade;60;9550;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Esquina;Suave;Bigurrilho;1Fam;2Story;7;5;1915;1970;Empenado;Telha Padrão;Revestimento de madeira;Revestimento de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Bom;Sem Exposiçao;Alojamento mediano;216;inacabado;0;540;756;Gás;Bom;sim;SBrkr;961;756;0;1717;1;0;1;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Separado da casa;1998;Inacabado;3;642;Média;Média;Parcialavimentado;0;35;272;0;0;0;null;null;null;0;2;2006;Termo de Garantia - 15% de entradavencional;Anormal;140000
16;45;Residencial Média Densidade;51;6120;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Leblon;1Fam;1.5Unf;7;8;1929;2001;Empenado;Telha Padrão;Revestimento de madeira;Revestimento de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;832;832;Gás;Excelente;sim;FuseA;854;0;0;854;0;0;1;0;2;1;Média;5;Typ;0;null;Normal;Normal;Separado da casa;1991;Inacabado;2;576;Média;Média;Parcialavimentado;48;112;0;0;0;0;null;Boa privacidade;null;0;7;2007;Termo de Garantia - 15% de entradavencional;Normal;132000
16;45;Residencial Média Densidade;51;6120;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Leblon;1Fam;1.5Unf;7;8;1929;2001;Empenado;Telha Padrão;Revestimento de madeira;Telhas de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;832;832;Gás;Excelente;sim;FuseA;854;0;0;854;0;0;1;0;2;1;Média;5;Typ;0;null;Normal;Normal;Separado da casa;1991;Inacabado;2;576;Média;Média;Parcialavimentado;48;112;0;0;0;0;null;Boa privacidade;null;0;7;2007;Termo de Garantia - 15% de entradavencional;Normal;132000
17;20;Residencial Baixa Densidade;NA;11241;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Fim de rua;Suave;Arpuador;1Fam;1Story;6;7;1970;1970;Empenado;Telha Padrão;Revestimento de madeira;Revestimento de madeira;Pedra Lasca;180;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Alojamento mediano;578;inacabado;0;426;1004;Gás;Excelente;sim;SBrkr;1004;0;0;1004;1;0;1;0;2;1;Média;5;Typ;1;Média;Normal;Normal;Anexo à casa;1970;Acabado;2;480;Média;Média;Parcialavimentado;0;0;0;0;0;0;null;null;Galpão;700;3;2010;Termo de Garantia - 15% de entradavencional;Normal;149000
17;20;Residencial Baixa Densidade;NA;11241;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Fim de rua;Suave;Arpuador;1Fam;1Story;6;7;1970;1970;Empenado;Telha Padrão;Revestimento de madeira;Telhas de madeira;Pedra Lasca;180;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Alojamento mediano;578;inacabado;0;426;1004;Gás;Excelente;sim;SBrkr;1004;0;0;1004;1;0;1;0;2;1;Média;5;Typ;1;Média;Normal;Normal;Anexo à casa;1970;Acabado;2;480;Média;Média;Parcialavimentado;0;0;0;0;0;0;null;null;Galpão;700;3;2010;Termo de Garantia - 15% de entradavencional;Normal;149000
9;50;Residencial Média Densidade;51;6120;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Osasco;1Fam;1.5Fin;7;5;1931;1950;Empenado;Telha Padrão;Cara de tijolo;Telhas de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;952;952;Gás;Bom;sim;FuseF;1022;752;0;1774;0;0;2;0;2;2;Média;8;Min1;2;Média;Rua principal;Normal;Separado da casa;1931;Inacabado;2;468;Razoável;Média;Parcialavimentado;90;0;205;0;0;0;null;null;null;0;4;2008;Termo de Garantia - 15% de entradavencional;Anormal;129900
9;50;Residencial Média Densidade;51;6120;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Osasco;1Fam;1.5Fin;7;5;1931;1950;Empenado;Telha Padrão;Cara de tijolo;Revestimento de madeira;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;952;952;Gás;Bom;sim;FuseF;1022;752;0;1774;0;0;2;0;2;2;Média;8;Min1;2;Média;Rua principal;Normal;Separado da casa;1931;Inacabado;2;468;Razoável;Média;Parcialavimentado;90;0;205;0;0;0;null;null;null;0;4;2008;Termo de Garantia - 15% de entradavencional;Anormal;129900
8;60;Residencial Baixa Densidade;NA;10382;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Esquina;Suave;Carangola;1Fam;2Story;7;6;1973;1973;Empenado;Telha Padrão;Placa dura;Placa Rígida;Pedra;240;Mediano;Médio;Bloco de concreto;Bom;Média;Mínimo;Alojamento mediano;859;Alojamento abaixo da média;32;216;1107;Gás;Excelente;sim;SBrkr;1107;983;0;2090;1;0;2;1;3;1;Média;7;Typ;2;Média;PosN;Normal;Anexo à casa;1973;Acabamento Bruto;2;484;Média;Média;Parcialavimentado;235;204;228;0;0;0;null;null;Galpão;350;11;2009;Termo de Garantia - 15% de entradavencional;Normal;200000
11;20;Residencial Baixa Densidade;70;11200;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Maragogi;1Fam;1Story;5;5;1965;1965;Telha de Barro;Telha Padrão;Placa dura;Placa Rígida;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Sala de Sala de recreação médiareação média;906;inacabado;0;134;1040;Gás;Excelente;sim;SBrkr;1040;0;0;1040;1;0;1;0;3;1;Média;5;Typ;0;null;Normal;Normal;Separado da casa;1965;Inacabado;1;384;Média;Média;Parcialavimentado;0;0;0;0;0;0;null;null;null;0;2;2008;Termo de Garantia - 15% de entradavencional;Normal;129500
13;20;Residencial Baixa Densidade;NA;12968;Pavimentado;NA;Moderadamente Irregular;Plano;Todos;Interno;Suave;Maragogi;1Fam;1Story;5;6;1962;1962;Telha de Barro;Telha Padrão;Placa dura;Contraplacado;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Alojamento mediano;737;inacabado;0;175;912;Gás;Médio;sim;SBrkr;912;0;0;912;1;0;1;0;2;1;Média;4;Typ;0;null;Normal;Normal;Separado da casa;1962;Inacabado;1;352;Média;Média;Parcialavimentado;140;0;0;0;176;0;null;null;null;0;9;2008;Termo de Garantia - 15% de entradavencional;Normal;144000
12;60;Residencial Baixa Densidade;85;11924;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Capivari;1Fam;2Story;9;5;2005;2006;Telha de Barro;Telha Padrão;Telhas de madeira;Telhas de madeira;Pedra;286;Exelente;Médio;Concreto armado;Excelente;Média;Sem Exposiçao;Boa para morar;998;inacabado;0;177;1175;Gás;Excelente;sim;SBrkr;1182;1142;0;2324;1;0;3;0;4;1;Excelente;11;Typ;2;Bom;Normal;Normal;Embutido;2005;Acabado;3;736;Média;Média;Parcialavimentado;147;21;0;0;0;0;null;null;null;0;7;2006;Casa nova;Parcial;345000
12;60;Residencial Baixa Densidade;85;11924;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Capivari;1Fam;2Story;9;5;2005;2006;Telha de Barro;Telha Padrão;Telhas de madeira;Revestimento de madeira;Pedra;286;Exelente;Médio;Concreto armado;Excelente;Média;Sem Exposiçao;Boa para morar;998;inacabado;0;177;1175;Gás;Excelente;sim;SBrkr;1182;1142;0;2324;1;0;3;0;4;1;Excelente;11;Typ;2;Bom;Normal;Normal;Embutido;2005;Acabado;3;736;Média;Média;Parcialavimentado;147;21;0;0;0;0;null;null;null;0;7;2006;Casa nova;Parcial;345000
19;20;Residencial Baixa Densidade;66;13695;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Mirasol;1Fam;1Story;5;5;2004;2004;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Nenhum;0;Mediano;Médio;Concreto armado;Médio;Média;Sem Exposiçao;Boa para morar;646;inacabado;0;468;1114;Gás;Excelente;sim;SBrkr;1114;0;0;1114;1;0;1;1;3;1;Bom;6;Typ;0;null;RRAe;Normal;Separado da casa;2004;Inacabado;2;576;Média;Média;Parcialavimentado;0;102;0;0;0;0;null;null;null;0;6;2008;Termo de Garantia - 15% de entradavencional;Normal;159000
20;20;Residencial Baixa Densidade;70;7560;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Arpuador;1Fam;1Story;5;6;1958;1965;Telha de Barro;Telha Padrão;Cara de tijolo;Contraplacado;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Baixa qualidade;504;inacabado;0;525;1029;Gás;Médio;sim;SBrkr;1339;0;0;1339;0;0;1;0;3;1;Média;6;Min1;0;null;Normal;Normal;Anexo à casa;1958;Inacabado;1;294;Média;Média;Parcialavimentado;0;0;0;0;0;0;null;Baixa privacidade;null;0;5;2009;Escritura/Espólio do Oficial de Justiça;Anormal;139000
21;60;Residencial Baixa Densidade;101;14215;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Esquina;Suave;Capivari;1Fam;2Story;8;5;2005;2006;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra Lasca;380;Bom;Médio;Concreto armado;Excelente;Média;Médio;Inacabado;0;inacabado;0;1158;1158;Gás;Excelente;sim;SBrkr;1158;1218;0;2376;0;0;3;1;4;1;Bom;9;Typ;1;Bom;Normal;Normal;Embutido;2005;Acabamento Bruto;3;853;Média;Média;Parcialavimentado;240;154;0;0;0;0;null;null;null;0;11;2006;Casa nova;Parcial;325300
22;45;Residencial Média Densidade;57;7449;Pavimentado;Cascalho;Regular;Aclive a partir da rua;Todos;Interno;Suave;Itaipava;1Fam;1.5Unf;7;7;1930;1950;Empenado;Telha Padrão;Revestimento de madeira;Revestimento de madeira;Nenhum;0;Mediano;Médio;Concreto armado;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;637;637;Gás;Excelente;sim;FuseF;1108;0;0;1108;0;0;1;0;3;1;Bom;6;Typ;1;Bom;Normal;Normal;Anexo à casa;1930;Inacabado;1;280;Média;Média;Cascalho;0;0;205;0;0;0;null;Boa privacidade;null;0;6;2007;Termo de Garantia - 15% de entradavencional;Normal;139400
22;45;Residencial Média Densidade;57;7449;Pavimentado;Cascalho;Regular;Aclive a partir da rua;Todos;Interno;Suave;Itaipava;1Fam;1.5Unf;7;7;1930;1950;Empenado;Telha Padrão;Revestimento de madeira;Telhas de madeira;Nenhum;0;Mediano;Médio;Concreto armado;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;637;637;Gás;Excelente;sim;FuseF;1108;0;0;1108;0;0;1;0;3;1;Bom;6;Typ;1;Bom;Normal;Normal;Anexo à casa;1930;Inacabado;1;280;Média;Média;Cascalho;0;0;205;0;0;0;null;Boa privacidade;null;0;6;2007;Termo de Garantia - 15% de entradavencional;Normal;139400
23;20;Residencial Baixa Densidade;75;9742;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Tijuca;1Fam;1Story;8;5;2002;2002;Telha de Barro;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra Lasca;281;Bom;Médio;Concreto armado;Bom;Média;Sem Exposiçao;Inacabado;0;inacabado;0;1777;1777;Gás;Excelente;sim;SBrkr;1795;0;0;1795;0;0;2;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Anexo à casa;2002;Acabamento Bruto;2;534;Média;Média;Parcialavimentado;171;159;0;0;0;0;null;null;null;0;9;2008;Termo de Garantia - 15% de entradavencional;Normal;230000
24;120;Residencial Média Densidade;44;4224;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Ipanema;TwnhsE;1Story;5;7;1976;1976;Empenado;Telha Padrão;Placa de cimento;Placa de Cimento;Nenhum;0;Mediano;Médio;Concreto armado;Bom;Média;Sem Exposiçao;Boa para morar;840;inacabado;0;200;1040;Gás;Médio;sim;SBrkr;1060;0;0;1060;1;0;1;0;3;1;Média;6;Typ;1;Média;Normal;Normal;Anexo à casa;1976;Inacabado;2;572;Média;Média;Parcialavimentado;100;110;0;0;0;0;null;null;null;0;6;2007;Termo de Garantia - 15% de entradavencional;Normal;129900
25;20;Residencial Baixa Densidade;NA;8246;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Maragogi;1Fam;1Story;5;8;1968;2001;Empenado;Telha Padrão;Madeira compensada;Contraplacado;Nenhum;0;Mediano;Bom;Bloco de concreto;Médio;Média;Mínimo;Sala de Sala de recreação médiareação média;188;Alojamento médiano;668;204;1060;Gás;Excelente;sim;SBrkr;1060;0;0;1060;1;0;1;0;3;1;Bom;6;Typ;1;Média;Normal;Normal;Anexo à casa;1968;Inacabado;1;270;Média;Média;Parcialavimentado;406;90;0;0;0;0;null;Baixa privacidade;null;0;5;2010;Termo de Garantia - 15% de entradavencional;Normal;154000
26;20;Residencial Baixa Densidade;110;14230;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Capivari;1Fam;1Story;8;5;2007;2007;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra;640;Bom;Médio;Concreto armado;Bom;Média;Sem Exposiçao;Inacabado;0;inacabado;0;1566;1566;Gás;Excelente;sim;SBrkr;1600;0;0;1600;0;0;2;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Anexo à casa;2007;Acabamento Bruto;3;890;Média;Média;Parcialavimentado;0;56;0;0;0;0;null;null;null;0;7;2009;Termo de Garantia - 15% de entradavencional;Normal;256300
27;20;Residencial Baixa Densidade;60;7200;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Arpuador;1Fam;1Story;5;7;1951;2000;Empenado;Telha Padrão;Revestimento de madeira;Revestimento de madeira;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Mínimo;Alojamento abaixo da média;234;Sala de recreação média;486;180;900;Gás;Médio;sim;SBrkr;900;0;0;900;0;1;1;0;3;1;Bom;5;Typ;0;null;Normal;Normal;Separado da casa;2005;Inacabado;2;576;Média;Média;Parcialavimentado;222;32;0;0;0;0;null;null;null;0;5;2010;Termo de Garantia - 15% de entradavencional;Normal;134800
27;20;Residencial Baixa Densidade;60;7200;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Arpuador;1Fam;1Story;5;7;1951;2000;Empenado;Telha Padrão;Revestimento de madeira;Telhas de madeira;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Mínimo;Alojamento abaixo da média;234;Sala de recreação média;486;180;900;Gás;Médio;sim;SBrkr;900;0;0;900;0;1;1;0;3;1;Bom;5;Typ;0;null;Normal;Normal;Separado da casa;2005;Inacabado;2;576;Média;Média;Parcialavimentado;222;32;0;0;0;0;null;null;null;0;5;2010;Termo de Garantia - 15% de entradavencional;Normal;134800
28;20;Residencial Baixa Densidade;98;11478;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Capivari;1Fam;1Story;8;5;2007;2008;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra;200;Bom;Médio;Concreto armado;Excelente;Média;Sem Exposiçao;Boa para morar;1218;inacabado;0;486;1704;Gás;Excelente;sim;SBrkr;1704;0;0;1704;1;0;2;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Anexo à casa;2008;Acabamento Bruto;3;772;Média;Média;Parcialavimentado;0;50;0;0;0;0;null;null;null;0;5;2010;Termo de Garantia - 15% de entradavencional;Normal;306000
29;20;Residencial Baixa Densidade;47;16321;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Fim de rua;Suave;Arpuador;1Fam;1Story;5;6;1957;1997;Empenado;Telha Padrão;Revestimento de metal;Revestimento de Metal;Nenhum;0;Mediano;Médio;Bloco de concreto;Médio;Média;Bom;Alojamento abaixo da média;1277;inacabado;0;207;1484;Gás;Médio;sim;SBrkr;1600;0;0;1600;1;0;1;0;2;1;Média;6;Typ;2;Bom;Normal;Normal;Anexo à casa;1957;Acabamento Bruto;1;319;Média;Média;Parcialavimentado;288;258;0;0;0;0;null;null;null;0;12;2006;Termo de Garantia - 15% de entradavencional;Normal;207500
30;30;Residencial Média Densidade;60;6324;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Leblon;1Fam;1Story;4;6;1927;1950;Empenado;Telha Padrão;Revestimento de metal;Revestimento de Metal;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;520;520;Gás;Razoável;não;SBrkr;520;0;0;520;0;0;1;0;1;1;Razoável;4;Typ;0;null;Rua lateral;RRNn;Separado da casa;1920;Inacabado;1;240;Razoável;Média;Parcialavimentado;49;0;87;0;0;0;null;null;null;0;5;2008;Termo de Garantia - 15% de entradavencional;Normal;68500
31;70;Comercial;50;8500;Pavimentado;Pavimentado;Regular;Plano;Todos;Interno;Suave;Itaipava;1Fam;2Story;4;4;1920;1950;Gambrel;Telha Padrão;Cara de tijolo;Brick Face;Nenhum;0;Mediano;Razoável;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Inacabado;0;inacabado;0;649;649;Gás;Médio;não;SBrkr;649;668;0;1317;0;0;1;0;3;1;Média;6;Typ;0;null;Rua lateral;Normal;Separado da casa;1920;Inacabado;1;250;Média;Razoável;Cascalho;0;54;172;0;0;0;null;Baixa privacidade;null;0;7;2008;Termo de Garantia - 15% de entradavencional;Normal;40000
