cep;idade;sexo;pagamento_tipo;produto_tipo
22621170;27;Feminino;Cartão de Crédito;Corpo
22010010;25;Feminino;Cartão de Crédito;Pele
12031560;29;Feminino;Cartão de Crédito;Maquiagem
5042001;35;Feminino;Cartão de Crédito;Corpo
2805000;29;Feminino;Boleto;Maquiagem
66093090;31;Feminino;Cartão de Crédito;Tratamento
11060480;29;Feminino;Cartão de Crédito;Cabelo
50030390;24;Feminino;Cartão de Crédito;Maquiagem
4314130;29;Feminino;Cartão de Crédito;Maquiagem
49045280;33;Feminino;Cartão de Crédito;Tratamento
13405060;29;Feminino;Cartão de Crédito;Maquiagem
30720060;19;Feminino;Cartão de Crédito;Maquiagem
95580000;20;Feminino;Cartão de Crédito;Cabelo
40350130;29;Feminino;Cartão de Crédito;Cabelo
14811082;22;Feminino;Cartão de Crédito;Maquiagem
44060790;31;Feminino;Cartão de Crédito;Cabelo
45604185;26;Feminino;Cartão de Crédito;Tratamento
12236030;32;Feminino;Boleto;Corpo
98801650;31;Feminino;Boleto;Cabelo
78600000;27;Feminino;Cartão de Crédito;Maquiagem
2833240;25;Feminino;Cartão de Crédito;Maquiagem
29146970;24;Masculino;Boleto;Maquiagem
4101300;34;Feminino;Cartão de Crédito;Cabelo
93048270;32;Feminino;Cartão de Crédito;Maquiagem
70735040;30;Feminino;Boleto;Corpo
96810090;25;Feminino;Boleto;Corpo
35590000;23;Feminino;Cartão de Crédito;Cabelo
14780028;34;Feminino;Cartão de Crédito;Maquiagem
97500591;20;Masculino;Cartão de Crédito;Corpo
32285000;29;Feminino;Débito;Tratamento
4209000;30;Masculino;Cartão de Crédito;Maquiagem
44052110;30;Feminino;Débito;Tratamento
14640000;27;Feminino;Cartão de Crédito;Tratamento
24130220;28;Feminino;Cartão de Crédito;Maquiagem
18603700;30;Feminino;Cartão de Crédito;Tratamento
4118130;34;Feminino;Cartão de Crédito;Corpo
88304200;29;Feminino;Cartão de Crédito;Tratamento
89245000;32;Feminino;Cartão de Crédito;Cabelo
13480580;35;Feminino;Boleto;Maquiagem
13872010;24;Feminino;Cartão de Crédito;Maquiagem
14050090;32;Feminino;Boleto;Maquiagem
20740310;30;Masculino;Cartão de Crédito;Cabelo
41830160;29;Feminino;Cartão de Crédito;Cabelo
11055130;33;Feminino;Cartão de Crédito;Corpo
71741401;27;Masculino;Débito;Cabelo
38408404;28;Feminino;Cartão de Crédito;Cabelo
5351050;26;Feminino;Cartão de Crédito;Maquiagem
13327381;30;Masculino;Cartão de Crédito;Tratamento
82510290;25;Feminino;Cartão de Crédito;Maquiagem
99032680;33;Feminino;Cartão de Crédito;Maquiagem
4334000;25;Feminino;Cartão de Crédito;Tratamento
99200000;24;Feminino;Cartão de Crédito;Maquiagem
17055240;29;Feminino;Cartão de Crédito;Maquiagem
3928050;26;Feminino;Cartão de Crédito;Tratamento
15025070;21;Feminino;Cartão de Crédito;Maquiagem
27555000;23;Masculino;Cartão de Crédito;Tratamento
78030010;22;Feminino;Cartão de Crédito;Maquiagem
5305007;31;Feminino;Boleto;Tratamento
70338050;35;Feminino;Cartão de Crédito;Tratamento
1313020;35;Masculino;Cartão de Crédito;Corpo
29167750;27;Feminino;Boleto;Cabelo
85012100;28;Feminino;Cartão de Crédito;Tratamento
21921000;31;Feminino;Cartão de Crédito;Tratamento
58035120;22;Masculino;Boleto;Maquiagem
5516040;25;Feminino;Cartão de Crédito;Tratamento
13480406;24;Feminino;Cartão de Crédito;Tratamento
88311190;31;Feminino;Cartão de Crédito;Corpo
40150350;32;Feminino;Cartão de Crédito;Corpo
13271971;29;Feminino;Boleto;Corpo
32240540;20;Feminino;Cartão de Crédito;Cabelo
74855270;31;Feminino;Cartão de Crédito;Cabelo
59108500;31;Feminino;Cartão de Crédito;Cabelo
12460000;19;Feminino;Cartão de Crédito;Maquiagem
13035610;30;Feminino;Cartão de Crédito;Cabelo
31035470;29;Feminino;Cartão de Crédito;Corpo
94420000;34;Masculino;Cartão de Crédito;Corpo
38610000;35;Masculino;Cartão de Crédito;Corpo
95032200;30;Feminino;Cartão de Crédito;Cabelo
88032000;30;Feminino;Cartão de Crédito;Corpo
29160830;24;Feminino;Cartão de Crédito;Cabelo
30840300;33;Feminino;Cartão de Crédito;Maquiagem
58037500;27;Feminino;Cartão de Crédito;Tratamento
52050030;29;Feminino;Cartão de Crédito;Tratamento
89107000;29;Feminino;Cartão de Crédito;Pele
14940000;19;Feminino;Cartão de Crédito;Tratamento
3210000;32;Feminino;Boleto;Maquiagem
12031010;29;Feminino;Cartão de Crédito;Cabelo
44038370;29;Feminino;Cartão de Crédito;Maquiagem
65075090;26;Feminino;Cartão de Crédito;Tratamento
49035350;22;Feminino;Cartão de Crédito;Maquiagem
40296200;33;Feminino;Boleto;Corpo
64001310;23;Feminino;Cartão de Crédito;Maquiagem
1045001;24;Feminino;Cartão de Crédito;Tratamento
78600000;27;Feminino;Cartão de Crédito;Cabelo
8310640;24;Masculino;Cartão de Crédito;Corpo
9185360;25;Feminino;Cartão de Crédito;Maquiagem
4037001;31;Feminino;Débito;Tratamento
14810225;30;Feminino;Cartão de Crédito;Maquiagem
63040540;27;Feminino;Cartão de Crédito;Maquiagem
5755090;30;Feminino;Boleto;Cabelo
16400460;30;Feminino;Cartão de Crédito;Corpo
38402019;29;Feminino;Cartão de Crédito;Tratamento
9571420;25;Feminino;Cartão de Crédito;Corpo
12233470;34;Feminino;Cartão de Crédito;Tratamento
69917400;32;Feminino;Boleto;Corpo
13405235;26;Feminino;Cartão de Crédito;Cabelo
88117600;30;Feminino;Cartão de Crédito;Corpo
13335360;33;Feminino;Cartão de Crédito;Corpo
48903970;20;Feminino;Boleto;Maquiagem
55004241;21;Feminino;Cartão de Crédito;Maquiagem
3162050;30;Feminino;Cartão de Crédito;Cabelo
27920360;18;Feminino;Cartão de Crédito;Tratamento
18240000;24;Feminino;Cartão de Crédito;Tratamento
89037970;34;Feminino;Cartão de Crédito;Cabelo
59151800;34;Feminino;Cartão de Crédito;Tratamento
22231140;33;Feminino;Cartão de Crédito;Tratamento
22221030;30;Feminino;Cartão de Crédito;Tratamento
13565905;30;Feminino;Boleto;Corpo
89254000;23;Feminino;Cartão de Crédito;Maquiagem
96810090;27;Feminino;Cartão de Crédito;Cabelo
12320050;32;Feminino;Cartão de Crédito;Maquiagem
11065230;32;Masculino;Cartão de Crédito;Maquiagem
89700000;27;Feminino;Boleto;Maquiagem
29101010;25;Feminino;Cartão de Crédito;Cabelo
41830315;29;Feminino;Boleto;Tratamento
11040201;20;Feminino;Cartão de Crédito;Cabelo
36015370;23;Masculino;Cartão de Crédito;Tratamento
5410000;25;Masculino;Cartão de Crédito;Maquiagem
29114861;31;Feminino;Cartão de Crédito;Cabelo
20540001;22;Feminino;Cartão de Crédito;Maquiagem
49020210;20;Feminino;Boleto;Cabelo
5088050;31;Feminino;Cartão de Crédito;Maquiagem
20950090;34;Feminino;Cartão de Crédito;Maquiagem
18681116;22;Feminino;Boleto;Maquiagem
20715010;32;Feminino;Boleto;Cabelo
30820600;29;Feminino;Cartão de Crédito;Maquiagem
4317180;34;Feminino;Cartão de Crédito;Cabelo
99560000;25;Feminino;Boleto;Tratamento
5074000;34;Feminino;Cartão de Crédito;Corpo
35170095;32;Feminino;Cartão de Crédito;Maquiagem
4087032;23;Feminino;Boleto;Maquiagem
60170020;31;Feminino;Cartão de Crédito;Maquiagem
13271971;28;Feminino;Boleto;Maquiagem
14887200;29;Feminino;Cartão de Crédito;Maquiagem
37130000;30;Feminino;Cartão de Crédito;Maquiagem
57035260;28;Feminino;Cartão de Crédito;Maquiagem
86063015;31;Masculino;Cartão de Crédito;Corpo
89225560;28;Feminino;Boleto;Cabelo
29102010;21;Feminino;Boleto;Cabelo
63020000;27;Masculino;Boleto;Corpo
60135620;34;Feminino;Débito;Maquiagem
28460000;28;Feminino;Boleto;Cabelo
78500000;24;Feminino;Cartão de Crédito;Tratamento
60140050;30;Feminino;Cartão de Crédito;Maquiagem
72120300;30;Feminino;Boleto;Maquiagem
88270000;19;Feminino;Boleto;Maquiagem
89204210;31;Feminino;Cartão de Crédito;Maquiagem
44045080;31;Masculino;Boleto;Corpo
6411210;33;Feminino;Cartão de Crédito;Maquiagem
89110000;35;Feminino;Cartão de Crédito;Maquiagem
13201000;30;Feminino;Boleto;Maquiagem
13060040;32;Feminino;Cartão de Crédito;Cabelo
93540350;28;Masculino;Cartão de Crédito;Cabelo
5353050;25;Feminino;Cartão de Crédito;Corpo
80040120;28;Feminino;Cartão de Crédito;Cabelo
22743050;24;Feminino;Cartão de Crédito;Cabelo
22290240;31;Feminino;Débito;Maquiagem
66093000;30;Feminino;Cartão de Crédito;Maquiagem
6675200;30;Feminino;Cartão de Crédito;Corpo
40070330;32;Feminino;Boleto;Cabelo
83005290;28;Feminino;Cartão de Crédito;Maquiagem
71680376;33;Feminino;Cartão de Crédito;Maquiagem
90630020;34;Feminino;Cartão de Crédito;Pele
4313000;22;Feminino;Cartão de Crédito;Maquiagem
8150340;28;Masculino;Cartão de Crédito;Cabelo
1222020;21;Feminino;Cartão de Crédito;Tratamento
75640000;33;Feminino;Cartão de Crédito;Tratamento
60150190;34;Feminino;Cartão de Crédito;Maquiagem
14620000;24;Feminino;Cartão de Crédito;Maquiagem
37030540;27;Masculino;Cartão de Crédito;Cabelo
78325000;25;Masculino;Cartão de Crédito;Tratamento
5102090;30;Feminino;Cartão de Crédito;Corpo
5372110;34;Feminino;Cartão de Crédito;Tratamento
60125040;24;Feminino;Cartão de Crédito;Maquiagem
13040003;23;Feminino;Cartão de Crédito;Corpo
55190000;32;Feminino;Boleto;Corpo
22410002;34;Feminino;Débito;Maquiagem
13405011;22;Masculino;Cartão de Crédito;Tratamento
32050390;24;Feminino;Cartão de Crédito;Cabelo
93548290;23;Feminino;Cartão de Crédito;Maquiagem
21830009;33;Masculino;Cartão de Crédito;Corpo
23903000;30;Feminino;Cartão de Crédito;Cabelo
71670720;33;Feminino;Cartão de Crédito;Maquiagem
2802120;33;Feminino;Cartão de Crédito;Tratamento
13400330;30;Feminino;Cartão de Crédito;Maquiagem
82510300;25;Feminino;Cartão de Crédito;Tratamento
11900000;24;Feminino;Boleto;Maquiagem
78135750;34;Feminino;Cartão de Crédito;Tratamento
22041001;21;Feminino;Cartão de Crédito;Cabelo
11055051;22;Feminino;Cartão de Crédito;Corpo
57038340;29;Feminino;Cartão de Crédito;Corpo
29050310;35;Feminino;Cartão de Crédito;Tratamento
13334040;35;Feminino;Cartão de Crédito;Tratamento
87305140;25;Feminino;Cartão de Crédito;Corpo
88804780;22;Feminino;Cartão de Crédito;Maquiagem
49020000;29;Feminino;Cartão de Crédito;Tratamento
31140220;22;Feminino;Cartão de Crédito;Tratamento
44380000;32;Feminino;Boleto;Maquiagem
11010230;27;Feminino;Boleto;Tratamento
5501000;23;Feminino;Cartão de Crédito;Maquiagem
80620250;26;Feminino;Cartão de Crédito;Cabelo
12242431;34;Feminino;Boleto;Tratamento
29164120;35;Feminino;Cartão de Crédito;Pele
88220000;22;Feminino;Boleto;Tratamento
30130009;29;Masculino;Cartão de Crédito;Corpo
95700000;34;Feminino;Boleto;Tratamento
13460000;19;Masculino;Cartão de Crédito;Corpo
88020000;28;Feminino;Cartão de Crédito;Maquiagem
12226831;35;Feminino;Cartão de Crédito;Tratamento
13213080;27;Feminino;Cartão de Crédito;Pele
60175375;33;Feminino;Cartão de Crédito;Maquiagem
13506832;28;Feminino;Cartão de Crédito;Tratamento
20766200;20;Feminino;Cartão de Crédito;Tratamento
37010530;25;Feminino;Cartão de Crédito;Cabelo
5408040;24;Feminino;Boleto;Maquiagem
38190000;28;Masculino;Boleto;Corpo
13603040;33;Feminino;Cartão de Crédito;Cabelo
78050080;21;Feminino;Boleto;Maquiagem
74835440;31;Masculino;Cartão de Crédito;Tratamento
38025185;25;Feminino;Cartão de Crédito;Cabelo
45995971;32;Feminino;Boleto;Maquiagem
29055020;32;Feminino;Cartão de Crédito;Tratamento
37500006;25;Feminino;Boleto;Cabelo
70299150;32;Feminino;Débito;Maquiagem
4794000;33;Feminino;Cartão de Crédito;Cabelo
76190000;30;Feminino;Cartão de Crédito;Maquiagem
95180000;33;Feminino;Cartão de Crédito;Cabelo
58039210;21;Masculino;Boleto;Maquiagem
89012520;22;Feminino;Cartão de Crédito;Tratamento
89560000;35;Feminino;Cartão de Crédito;Tratamento
3164200;32;Feminino;Cartão de Crédito;Maquiagem
78520000;34;Feminino;Cartão de Crédito;Corpo
36010570;32;Feminino;Cartão de Crédito;Cabelo
22735120;22;Feminino;Cartão de Crédito;Maquiagem
19060190;21;Feminino;Boleto;Tratamento
95700000;28;Feminino;Boleto;Cabelo
1537001;35;Feminino;Cartão de Crédito;Maquiagem
36305186;29;Feminino;Cartão de Crédito;Maquiagem
31814360;33;Feminino;Cartão de Crédito;Maquiagem
17011210;27;Feminino;Boleto;Tratamento
79150000;30;Feminino;Boleto;Tratamento
52050160;34;Feminino;Cartão de Crédito;Maquiagem
3227040;29;Feminino;Cartão de Crédito;Corpo
93032210;26;Feminino;Cartão de Crédito;Maquiagem
13405235;27;Feminino;Boleto;Tratamento
4710090;25;Feminino;Cartão de Crédito;Maquiagem
29102901;24;Feminino;Cartão de Crédito;Corpo
89050100;26;Feminino;Cartão de Crédito;Maquiagem
4661901;23;Masculino;Débito;Cabelo
57055320;26;Feminino;Cartão de Crédito;Corpo
78050000;30;Feminino;Cartão de Crédito;Tratamento
4004010;27;Feminino;Cartão de Crédito;Maquiagem
88020320;21;Feminino;Cartão de Crédito;Maquiagem
22723205;21;Feminino;Cartão de Crédito;Cabelo
57046360;26;Feminino;Cartão de Crédito;Maquiagem
72110800;29;Feminino;Cartão de Crédito;Cabelo
18610120;28;Feminino;Cartão de Crédito;Tratamento
13572190;33;Masculino;Cartão de Crédito;Maquiagem
20541100;34;Feminino;Cartão de Crédito;Tratamento
22470001;31;Feminino;Cartão de Crédito;Tratamento
24030160;29;Feminino;Boleto;Corpo
58046005;29;Feminino;Cartão de Crédito;Maquiagem
88330000;22;Feminino;Cartão de Crédito;Maquiagem
85859600;27;Feminino;Boleto;Tratamento
4087002;28;Feminino;Cartão de Crédito;Maquiagem
79003108;28;Feminino;Cartão de Crédito;Maquiagem
20270002;29;Masculino;Cartão de Crédito;Tratamento
27910200;34;Feminino;Boleto;Maquiagem
9540080;21;Feminino;Boleto;Tratamento
60833680;25;Feminino;Cartão de Crédito;Maquiagem
49097580;29;Feminino;Cartão de Crédito;Cabelo
6730000;27;Feminino;Cartão de Crédito;Maquiagem
5406000;29;Feminino;Cartão de Crédito;Tratamento
93600000;23;Feminino;Cartão de Crédito;Cabelo
23860000;25;Feminino;Boleto;Tratamento
95020972;28;Feminino;Cartão de Crédito;Maquiagem
12321720;35;Feminino;Cartão de Crédito;Tratamento
60135420;30;Feminino;Cartão de Crédito;Corpo
1508000;25;Feminino;Cartão de Crédito;Maquiagem
19802172;23;Masculino;Boleto;Cabelo
53417220;32;Masculino;Cartão de Crédito;Cabelo
62598000;25;Feminino;Débito;Cabelo
76315000;30;Feminino;Cartão de Crédito;Maquiagem
1303020;29;Feminino;Cartão de Crédito;Tratamento
88352191;23;Feminino;Cartão de Crédito;Maquiagem
1019000;32;Masculino;Boleto;Corpo
14640000;27;Feminino;Boleto;Cabelo
70755530;27;Feminino;Cartão de Crédito;Maquiagem
89140000;29;Feminino;Cartão de Crédito;Maquiagem
78060634;23;Feminino;Cartão de Crédito;Maquiagem
68745000;33;Feminino;Cartão de Crédito;Cabelo
13600091;19;Feminino;Cartão de Crédito;Tratamento
93700000;26;Feminino;Cartão de Crédito;Tratamento
4710090;25;Feminino;Cartão de Crédito;Cabelo
22231140;29;Feminino;Cartão de Crédito;Maquiagem
56302230;28;Feminino;Cartão de Crédito;Maquiagem
1512000;21;Feminino;Cartão de Crédito;Maquiagem
4549011;30;Feminino;Cartão de Crédito;Tratamento
41810620;25;Feminino;Cartão de Crédito;Tratamento
95180000;22;Feminino;Cartão de Crédito;Corpo
60125001;26;Feminino;Cartão de Crédito;Maquiagem
12710470;25;Feminino;Cartão de Crédito;Tratamento
36400000;28;Feminino;Boleto;Tratamento
38408022;22;Feminino;Cartão de Crédito;Maquiagem
69905200;33;Feminino;Cartão de Crédito;Maquiagem
30150160;28;Feminino;Cartão de Crédito;Maquiagem
81520900;30;Feminino;Cartão de Crédito;Maquiagem
74463670;28;Feminino;Cartão de Crédito;Maquiagem
12244000;19;Feminino;Boleto;Tratamento
35162378;25;Feminino;Cartão de Crédito;Cabelo
60110300;25;Feminino;Cartão de Crédito;Maquiagem
5086010;29;Feminino;Boleto;Corpo
4534900;35;Feminino;Boleto;Corpo
13201046;22;Feminino;Cartão de Crédito;Tratamento
