idade;classe_trabalho;fnwgt;escolaridade;numero_educacao;estado_civil;ocupacao;relacionamento;raca;sexo;nacionalidade;ganho_de_capital;perda_de_capital;horas_trabalho_semana;renda_anual
47;privado;51835;graduado-medicina-direito;15;casado;Especialidade Profissional;Esposa;Branco;Feminino;Honduras;0;1902;60;>50K
50;governo-federal;251585;graduacao;13;divorciado;Gerencial Executivo;Não na Família;Branco;Masculino;Estados Unidos;0;0;55;>50K
47;autonomo-com-incorporacao;109832;ensino-medio-completo;9;divorciado;Gerencial Executivo;Não na Família;Branco;Masculino;Estados Unidos;0;0;60;<=50K
43;privado;237993;graduacao-incompleta;10;casado;Suporte Técnico;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
46;privado;216666;sexto ano;3;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;México;0;0;40;<=50K
35;privado;56352;tecnologo;11;casado;Outros Serviços;Marido;Branco;Masculino;Porto Rico;0;0;40;<=50K
41;privado;147372;ensino-medio-completo;9;casado;Administrativo e Clerical;Marido;Branco;Masculino;Estados Unidos;0;0;48;<=50K
30;privado;188146;ensino-medio-completo;9;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;Estados Unidos;5013;0;40;<=50K
30;privado;59496;graduacao;13;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;2407;0;40;<=50K
32;;293936;oitavo ano;4;casado-conjuge-ausente;?;Não na Família;Branco;Masculino;;0;0;40;<=50K
48;privado;149640;ensino-medio-completo;9;casado;Transporte e Movimentação;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
42;privado;116632;doutorado;16;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;45;>50K
29;privado;105598;graduacao-incompleta;10;divorciado;Suporte Técnico;Não na Família;Branco;Masculino;Estados Unidos;0;0;58;<=50K
36;privado;155537;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
28;privado;183175;graduacao-incompleta;10;divorciado;Administrativo e Clerical;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
53;privado;169846;ensino-medio-completo;9;casado;Administrativo e Clerical;Esposa;Branco;Feminino;Estados Unidos;0;0;40;>50K
49;autonomo-com-incorporacao;191681;graduacao-incompleta;10;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;50;>50K
25;;200681;graduacao-incompleta;10;solteiro;?;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;40;<=50K
19;privado;101509;graduacao-incompleta;10;solteiro;Especialidade Profissional;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;32;<=50K
31;privado;309974;graduacao;13;separado;Vendas;Filho Próprio;Negro;Feminino;Estados Unidos;0;0;40;<=50K
29;autonomo-sem-imcorporacao;162298;graduacao;13;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;70;>50K
23;privado;211678;graduacao-incompleta;10;solteiro;Operador de Máquinas e Inspeção;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
79;privado;124744;graduacao-incompleta;10;casado;Especialidade Profissional;Outro Parente;Branco;Masculino;Estados Unidos;0;0;20;<=50K
27;privado;213921;ensino-medio-completo;9;solteiro;Outros Serviços;Filho Próprio;Branco;Masculino;México;0;0;40;<=50K
40;privado;32214;tecnologo;12;casado;Administrativo e Clerical;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
67;;212759;decimo-ano;6;casado;?;Marido;Branco;Masculino;Estados Unidos;0;0;2;<=50K
18;privado;309634;ensino-medio-incompleto;7;solteiro;Outros Serviços;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;22;<=50K
31;governo-municipal;125927;oitavo ano;4;casado;Agricultura e Pesca;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
18;privado;446839;ensino-medio-completo;9;solteiro;Vendas;Não na Família;Branco;Masculino;Estados Unidos;0;0;30;<=50K
52;privado;276515;graduacao;13;casado;Outros Serviços;Marido;Branco;Masculino;Cuba;0;0;40;<=50K
46;privado;51618;ensino-medio-completo;9;casado;Outros Serviços;Esposa;Branco;Feminino;Estados Unidos;0;0;40;<=50K
59;privado;159937;ensino-medio-completo;9;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;48;<=50K
44;privado;343591;ensino-medio-completo;9;divorciado;Reparo de Artesanato;Não na Família;Branco;Feminino;Estados Unidos;14344;0;40;>50K
53;privado;346253;ensino-medio-completo;9;divorciado;Vendas;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;35;<=50K
49;governo-municipal;268234;ensino-medio-completo;9;casado;Serviço de Proteção;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
33;privado;202051;mestrado;14;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
30;privado;54334;nono-ano;5;solteiro;Vendas;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
43;governo-federal;410867;doutorado;16;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;0;50;>50K
57;privado;249977;tecnologo;11;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
37;privado;286730;graduacao-incompleta;10;divorciado;Reparo de Artesanato;Não Casado;Branco;Feminino;Estados Unidos;0;0;40;<=50K
28;privado;212563;graduacao-incompleta;10;divorciado;Operador de Máquinas e Inspeção;Não Casado;Negro;Feminino;Estados Unidos;0;0;25;<=50K
30;privado;117747;ensino-medio-completo;9;casado;Vendas;Esposa;Asiático e Ilhas do Pacífico;Feminino;;0;1573;35;<=50K
34;governo-municipal;226296;graduacao;13;casado;Serviço de Proteção;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
29;governo-municipal;115585;graduacao-incompleta;10;solteiro;Faxineiro;Não na Família;Branco;Masculino;Estados Unidos;0;0;50;<=50K
48;autonomo-sem-imcorporacao;191277;doutorado;16;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;1902;60;>50K
37;privado;202683;graduacao-incompleta;10;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;48;>50K
48;privado;171095;tecnologo;12;divorciado;Gerencial Executivo;Não Casado;Branco;Feminino;Inglaterra;0;0;40;<=50K
32;governo-federal;249409;ensino-medio-completo;9;solteiro;Outros Serviços;Filho Próprio;Negro;Masculino;Estados Unidos;0;0;40;<=50K
76;privado;124191;mestrado;14;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
44;privado;198282;graduacao;13;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;15024;0;60;>50K
47;autonomo-sem-imcorporacao;149116;mestrado;14;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;0;50;<=50K
20;privado;188300;graduacao-incompleta;10;solteiro;Suporte Técnico;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;40;<=50K
29;privado;103432;ensino-medio-completo;9;solteiro;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
32;autonomo-com-incorporacao;317660;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;7688;0;40;>50K
17;;304873;decimo-ano;6;solteiro;?;Filho Próprio;Branco;Feminino;Estados Unidos;34095;0;32;<=50K
30;privado;194901;ensino-medio-incompleto;7;solteiro;Faxineiro;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;40;<=50K
31;governo-municipal;189265;ensino-medio-completo;9;solteiro;Administrativo e Clerical;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
42;privado;124692;ensino-medio-completo;9;casado;Faxineiro;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
24;privado;432376;graduacao;13;solteiro;Vendas;Outro Parente;Branco;Masculino;Estados Unidos;0;0;40;<=50K
38;privado;65324;graduado-medicina-direito;15;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
56;autonomo-sem-imcorporacao;335605;ensino-medio-completo;9;casado;Outros Serviços;Marido;Branco;Masculino;Canadá;0;1887;50;>50K
28;privado;377869;graduacao-incompleta;10;casado;Vendas;Esposa;Branco;Feminino;Estados Unidos;4064;0;25;<=50K
36;privado;102864;ensino-medio-completo;9;solteiro;Operador de Máquinas e Inspeção;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;40;<=50K
53;privado;95647;nono-ano;5;casado;Faxineiro;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
56;autonomo-com-incorporacao;303090;graduacao-incompleta;10;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
49;governo-municipal;197371;tecnologo;11;casado;Reparo de Artesanato;Marido;Negro;Masculino;Estados Unidos;0;0;40;>50K
55;privado;247552;graduacao-incompleta;10;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;56;<=50K
22;privado;102632;ensino-medio-completo;9;solteiro;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;41;<=50K
21;privado;199915;graduacao-incompleta;10;solteiro;Outros Serviços;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;40;<=50K
40;privado;118853;graduacao;13;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;60;<=50K
30;privado;77143;graduacao;13;solteiro;Gerencial Executivo;Filho Próprio;Negro;Masculino;Alemanha;0;0;40;<=50K
29;governo-estadual;267989;graduacao;13;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;50;>50K
19;privado;301606;graduacao-incompleta;10;solteiro;Outros Serviços;Filho Próprio;Negro;Masculino;Estados Unidos;0;0;35;<=50K
47;privado;287828;graduacao;13;casado;Gerencial Executivo;Esposa;Branco;Feminino;Estados Unidos;0;0;40;>50K
20;privado;111697;graduacao-incompleta;10;solteiro;Administrativo e Clerical;Filho Próprio;Branco;Feminino;Estados Unidos;0;1719;28;<=50K
31;privado;114937;tecnologo;12;casado;Administrativo e Clerical;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
35;;129305;ensino-medio-completo;9;casado;?;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
39;privado;365739;graduacao-incompleta;10;divorciado;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
28;privado;69621;tecnologo;12;solteiro;Vendas;Não na Família;Branco;Feminino;Estados Unidos;0;0;60;<=50K
24;privado;43323;ensino-medio-completo;9;solteiro;Outros Serviços;Não na Família;Branco;Feminino;Estados Unidos;0;1762;40;<=50K
38;autonomo-sem-imcorporacao;120985;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;4386;0;35;<=50K
37;privado;254202;graduacao;13;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
46;privado;146195;tecnologo;12;divorciado;Suporte Técnico;Não na Família;Negro;Feminino;Estados Unidos;0;0;36;<=50K
38;governo-federal;125933;mestrado;14;casado;Especialidade Profissional;Marido;Branco;Masculino;Irã;0;0;40;>50K
43;autonomo-sem-imcorporacao;56920;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;60;<=50K
27;privado;163127;tecnologo;11;casado;Administrativo e Clerical;Esposa;Branco;Feminino;Estados Unidos;0;0;35;<=50K
20;privado;34310;graduacao-incompleta;10;solteiro;Vendas;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;20;<=50K
49;privado;81973;graduacao-incompleta;10;casado;Reparo de Artesanato;Marido;Asiático e Ilhas do Pacífico;Masculino;Estados Unidos;0;0;40;>50K
61;autonomo-com-incorporacao;66614;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
27;privado;232782;graduacao-incompleta;10;solteiro;Vendas;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;40;<=50K
19;privado;316868;graduacao-incompleta;10;solteiro;Outros Serviços;Filho Próprio;Branco;Masculino;México;0;0;30;<=50K
45;privado;196584;tecnologo;11;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;1564;40;>50K
70;privado;105376;graduacao-incompleta;10;solteiro;Suporte Técnico;Outro Parente;Branco;Masculino;Estados Unidos;0;0;40;<=50K
31;privado;185814;ensino-medio-completo;9;solteiro;Transporte e Movimentação;Não Casado;Negro;Feminino;Estados Unidos;0;0;30;<=50K
22;privado;175374;graduacao-incompleta;10;casado;Outros Serviços;Marido;Branco;Masculino;Estados Unidos;0;0;24;<=50K
36;privado;108293;ensino-medio-completo;9;viuvo;Outros Serviços;Não Casado;Branco;Feminino;Estados Unidos;0;0;24;<=50K
64;privado;181232;ensino-medio-incompleto;7;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;2179;40;<=50K
43;;174662;graduacao-incompleta;10;divorciado;?;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
47;governo-municipal;186009;graduacao-incompleta;10;divorciado;Administrativo e Clerical;Não Casado;Branco;Feminino;México;0;0;38;<=50K
34;privado;198183;ensino-medio-completo;9;solteiro;Administrativo e Clerical;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
33;privado;163003;graduacao;13;solteiro;Gerencial Executivo;Outro Parente;Asiático e Ilhas do Pacífico;Feminino;Filipinas;0;0;40;<=50K
21;privado;296158;ensino-medio-completo;9;solteiro;Reparo de Artesanato;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;35;<=50K
52;;252903;ensino-medio-completo;9;divorciado;?;Não na Família;Branco;Masculino;Estados Unidos;0;0;45;>50K
48;privado;187715;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;46;<=50K
23;privado;214542;graduacao;13;solteiro;Faxineiro;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
71;autonomo-sem-imcorporacao;494223;graduacao-incompleta;10;separado;Vendas;Não Casado;Negro;Masculino;Estados Unidos;0;1816;2;<=50K
29;privado;191535;ensino-medio-completo;9;divorciado;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;60;<=50K
42;privado;228456;graduacao;13;separado;Outros Serviços;Outro Parente;Negro;Masculino;Estados Unidos;0;0;50;<=50K
68;;38317;ensino-fundamental;2;divorciado;?;Não na Família;Branco;Feminino;Estados Unidos;0;0;20;<=50K
25;privado;252752;ensino-medio-completo;9;solteiro;Outros Serviços;Não Casado;Branco;Feminino;Estados Unidos;0;0;40;<=50K
44;autonomo-com-incorporacao;78374;mestrado;14;divorciado;Gerencial Executivo;Não Casado;Asiático e Ilhas do Pacífico;Feminino;Estados Unidos;0;0;40;<=50K
28;privado;88419;ensino-medio-completo;9;solteiro;Gerencial Executivo;Não na Família;Asiático e Ilhas do Pacífico;Feminino;Inglaterra;0;0;40;<=50K
45;autonomo-sem-imcorporacao;201080;mestrado;14;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
36;privado;207157;graduacao-incompleta;10;divorciado;Outros Serviços;Não Casado;Branco;Feminino;México;0;0;40;<=50K
39;governo-federal;235485;tecnologo;12;solteiro;Gerencial Executivo;Não na Família;Branco;Masculino;Estados Unidos;0;0;42;<=50K
46;governo-estadual;102628;mestrado;14;viuvo;Serviço de Proteção;Não Casado;Branco;Masculino;Estados Unidos;0;0;40;<=50K
18;privado;25828;ensino-medio-incompleto;7;solteiro;Faxineiro;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;16;<=50K
66;governo-municipal;54826;tecnologo;11;viuvo;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;0;20;<=50K
27;privado;124953;ensino-medio-completo;9;solteiro;Outros Serviços;Não na Família;Branco;Masculino;Estados Unidos;0;1980;40;<=50K
28;governo-estadual;175325;ensino-medio-completo;9;casado;Serviço de Proteção;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
51;privado;96062;graduacao-incompleta;10;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;1977;40;>50K
27;privado;428030;graduacao;13;solteiro;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;50;<=50K
28;governo-estadual;149624;graduacao;13;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
27;privado;253814;ensino-medio-completo;9;casado-conjuge-ausente;Vendas;Não Casado;Branco;Feminino;Estados Unidos;0;0;25;<=50K
21;privado;312956;ensino-medio-completo;9;solteiro;Reparo de Artesanato;Filho Próprio;Negro;Masculino;Estados Unidos;0;0;40;<=50K
34;privado;483777;ensino-medio-completo;9;solteiro;Faxineiro;Não na Família;Negro;Masculino;Estados Unidos;0;0;40;<=50K
18;privado;183930;ensino-medio-completo;9;solteiro;Outros Serviços;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;12;<=50K
33;privado;37274;graduacao;13;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;65;<=50K
44;governo-municipal;181344;graduacao-incompleta;10;casado;Gerencial Executivo;Marido;Negro;Masculino;Estados Unidos;0;0;38;>50K
43;privado;114580;graduacao-incompleta;10;divorciado;Administrativo e Clerical;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
30;privado;633742;graduacao-incompleta;10;solteiro;Reparo de Artesanato;Não na Família;Negro;Masculino;Estados Unidos;0;0;45;<=50K
40;privado;286370;oitavo ano;4;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;México;0;0;40;>50K
37;governo-federal;29054;graduacao-incompleta;10;casado;Administrativo e Clerical;Marido;Branco;Masculino;Estados Unidos;0;0;42;>50K
34;privado;304030;ensino-medio-completo;9;casado;Administrativo e Clerical;Marido;Negro;Masculino;Estados Unidos;0;0;40;<=50K
41;autonomo-sem-imcorporacao;143129;graduacao;13;divorciado;Gerencial Executivo;Não na Família;Branco;Feminino;Estados Unidos;0;0;40;<=50K
53;;135105;graduacao;13;divorciado;?;Não na Família;Branco;Feminino;Estados Unidos;0;0;50;<=50K
31;privado;99928;mestrado;14;casado;Especialidade Profissional;Esposa;Branco;Feminino;Estados Unidos;0;0;50;<=50K
58;governo-estadual;109567;doutorado;16;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;1;>50K
38;privado;155222;graduacao-incompleta;10;divorciado;Operador de Máquinas e Inspeção;Não na Família;Negro;Feminino;Estados Unidos;0;0;28;<=50K
24;privado;159567;graduacao-incompleta;10;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
41;governo-municipal;523910;graduacao;13;casado;Reparo de Artesanato;Marido;Negro;Masculino;Estados Unidos;0;0;40;<=50K
47;privado;120939;graduacao-incompleta;10;casado;Suporte Técnico;Marido;Branco;Masculino;Estados Unidos;0;0;45;<=50K
41;governo-federal;130760;graduacao;13;casado;Suporte Técnico;Marido;Branco;Masculino;Estados Unidos;0;0;24;<=50K
23;privado;197387;sexto ano;3;casado;Transporte e Movimentação;Outro Parente;Branco;Masculino;México;0;0;40;<=50K
36;privado;99374;graduacao-incompleta;10;divorciado;Reparo de Artesanato;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
40;governo-federal;56795;mestrado;14;solteiro;Gerencial Executivo;Não na Família;Branco;Feminino;Estados Unidos;14084;0;55;>50K
35;privado;138992;mestrado;14;casado;Especialidade Profissional;Outro Parente;Branco;Masculino;Estados Unidos;7298;0;40;>50K
24;autonomo-sem-imcorporacao;32921;ensino-medio-completo;9;solteiro;Vendas;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
26;privado;397317;mestrado;14;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;1876;40;<=50K
19;;170653;ensino-medio-completo;9;solteiro;?;Filho Próprio;Branco;Masculino;Itália;0;0;40;<=50K
51;privado;259323;graduacao;13;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;50;>50K
42;governo-municipal;254817;graduacao-incompleta;10;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;0;1340;40;<=50K
37;governo-estadual;48211;ensino-medio-completo;9;divorciado;Administrativo e Clerical;Não Casado;Branco;Feminino;Estados Unidos;0;0;35;<=50K
18;privado;140164;ensino-medio-incompleto;7;solteiro;Vendas;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;40;<=50K
36;privado;128757;graduacao;13;casado;Outros Serviços;Marido;Negro;Masculino;Estados Unidos;7298;0;36;>50K
