sinistro	data_sinistro	sinistro_mes	sinistro_dia_semana	horario_sinistro	cidade_sinistro	uf_sinistro	mercadoria_grupo	origem_cidade	origem_uf	destino_cidade	destino_uf	valor_carga	motorista_vinculo
Roubo/Furto	26/01/2017	janeiro	quinta-feira	Sem Inf	Cabo de Santo Agostinho	PE	Alimentício	Cabo de Santo Agostinho	PE	Teresina	PI	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	28/01/2017	janeiro	quinta-feira	Madrugada	Frutal	MG	Couro	Senador Canedo	GO	Barretos	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	28/01/2017	janeiro	quinta-feira	Tarde	Paulo Afonso	BA	Hig/Limp/Cosm	Louveira	SP	Jaboatão dos Guararapes	PE	5 - Acima de R$ 1.000.000	Funcionário
Roubo/Furto	29/01/2017	janeiro	sexta-feira	Madrugada	Atibaia	SP	Geral	Belo Horizonte	MG	Jacarei	SP	3 - Até R$ 500.000	Autônomo
Roubo/Furto	29/01/2017	janeiro	sexta-feira	Noite	Garanhuns	PE	Hig/Limp/Cosm	Louveira	SP	Natal	RN	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	29/01/2017	janeiro	sexta-feira	Noite	Rio de Janeiro	RJ	Específicas	Porto Alegre	RS	Rio de Janeiro	RJ	3 - Até R$ 500.000	Funcionário
Roubo/Furto	30/01/2017	janeiro	sexta-feira	Madrugada	Governador Valadares	MG	Alimentício	Louveira	SP	Juazeiro do Norte	CE	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	30/01/2017	janeiro	sexta-feira	Madrugada	Nova Iguaçú	RJ	Alimentício	Cabreuva	SP	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
Outros	30/01/2017	janeiro	sexta-feira	Tarde	Vespasiano	MG	Aço/Ferro	Guatapará	SP	Vespasiano	MG	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	31/01/2017	janeiro	sexta-feira	Tarde	Pindamonhangaba	SP	Eletrodoméstico	Cajamar	SP	Serra	ES	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	31/01/2017	janeiro	sexta-feira	Noite	Arujá	SP	Eletrodoméstico	Cajamar	SP	Serra	ES	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	01/02/2017	fevereiro	segunda-feira	Manhã	Caçapava	SP	Alumínio	Pindamonhangaba	SP	Araçariguama	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	02/02/2017	fevereiro	segunda-feira	Noite	Xexéu	PE	Hig/Limp/Cosm	Vinhedo	SP	Ipojuca	PE	2 - Até R$ 300.000	Funcionário
Outros	02/02/2017	fevereiro	segunda-feira	Sem Inf	Colatina	ES	Maquinário	Joinville	SC	Colatina	ES	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	03/02/2017	fevereiro	segunda-feira	Sem Inf	São Paulo	SP	Alimentício	Taboão da Serra	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	04/02/2017	fevereiro	segunda-feira	Tarde	Petrolina	PE	Hig/Limp/Cosm	Louveira	SP	Teresina	PI	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	05/02/2017	fevereiro	terça-feira	Madrugada	Campina Grande do Sul	PR	Calçados	Nova Serrana	MG	Dvs	RS	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	06/02/2017	fevereiro	terça-feira	Noite	Grão Mogol	MG	Frigorífico	São Sebastião do Oeste	MG	Jacobina	BA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	06/02/2017	fevereiro	terça-feira	Manhã	Itabirito	MG	E-Commerce	Contagem	MG	Juiz de Fora	MG	2 - Até R$ 300.000	Funcionário
Roubo/Furto	06/02/2017	fevereiro	terça-feira	Manhã	Cezarina	GO	Defensivo Agrícola	Aparecida de Goiânia	GO	Jataí	GO	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	07/02/2017	fevereiro	terça-feira	Noite	Itamaraju	BA	Café	Guaçuí	ES	Itaporanga d'Ajuda	SE	3 - Até R$ 500.000	Funcionário
Acidente	07/02/2017	fevereiro	terça-feira	Manhã	Varjão de Minas	MG	Aço/Ferro	Orlândia	SP	Camaçari	BA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	08/02/2017	fevereiro	terça-feira	Manhã	Nova Iguaçú	RJ	Alimentício	Cabreuva	SP	Nova Iguaçu	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	08/02/2017	fevereiro	terça-feira	Noite	Barrolândia	TO	Alimentício	Anajás	PA	Serra	ES	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	08/02/2017	fevereiro	terça-feira	Madrugada	Canguaretama	RN	Óleo Comestível	São Paulo	SP	Rio Grande do Norte	RN	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	09/02/2017	fevereiro	terça-feira	Manhã	Campina Grande do Sul	PR	Alumínio	Araquari	SC	Pindamonhangaba	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	09/02/2017	fevereiro	terça-feira	Madrugada	Carmo da Cachoeira	MG	Café	Patrocínio	MG	Exterior	EX	3 - Até R$ 500.000	Autônomo
Roubo/Furto	09/02/2017	fevereiro	terça-feira	Noite	São Paulo	SP	Tratores/Empilhadeiras	Belo Horizonte	MG	São Bernardo do Campo	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	11/02/2017	fevereiro	terça-feira	Sem Inf	Bocaiuva do Sul	PR	Geral	Porto Alegre	RS	São Paulo	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	12/02/2017	fevereiro	quarta-feira	Noite	Palmares	PE	Hig/Limp/Cosm	Vinhedo	SP	Ipojuca	PE	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	14/02/2017	fevereiro	quarta-feira	Sem Inf	Vitória de Santo Antão	PE	Alimentício	Recife	PE	Caruaru	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	14/02/2017	fevereiro	quarta-feira	Tarde	Pilar	AL	Hig/Limp/Cosm	Ipojuca	PE	Lauro de Freitas	BA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	14/02/2017	fevereiro	quarta-feira	Manhã	Arujá	SP	Confecção/Tecido/Fios	Itaquaquecetuba	SP	Osasco	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	15/02/2017	fevereiro	quarta-feira	Noite	Rio de Janeiro	RJ	Hig/Limp/Cosm	Pouso Alegre	MG	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	15/02/2017	fevereiro	quarta-feira	Manhã	Jaboatão dos Guararapes	PE	Hig/Limp/Cosm	Ipojuca	PE	Marcanaú	CE	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	15/02/2017	fevereiro	quarta-feira	Noite	Campinas	SP	E-Commerce	Itapevi	SP	Campinas	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	16/02/2017	fevereiro	quarta-feira	Manhã	Divinópolis	MG	Hig/Limp/Cosm	Pouso Alegre	MG	Divinópolis	MG	3 - Até R$ 500.000	Autônomo
Acidente	16/02/2017	fevereiro	quarta-feira	Manhã	Cerqueira César	SP	Eletrodoméstico	São Paulo	SP	Maringa	PR	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	16/02/2017	fevereiro	quarta-feira	Manhã	Blumenau	SC	E-Commerce	Itajaí	SC	Blumenau	SC	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	16/02/2017	fevereiro	quarta-feira	Madrugada	Lorena	SP	Alumínio	Juiz de Fora	MG	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	17/02/2017	fevereiro	quarta-feira	Madrugada	Santa Rita do Passa Quatro	SP	Laticínios	Sacramento	MG	São Paulo	SP	3 - Até R$ 500.000	S/Comprovação
Acidente	17/02/2017	fevereiro	quarta-feira	Sem Inf	São Paulo	SP	Tratores/Empilhadeiras	Governador Valadares	MG	Osasco	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	17/02/2017	fevereiro	quarta-feira	Noite	Mairiporã	SP	Geral	Arapongas	PR	Cajazeiras	PB	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	18/02/2017	fevereiro	quarta-feira	Tarde	Benevides	PA	Laticínios	Teutonia	RS	Belém	PA	3 - Até R$ 500.000	Autônomo
Acidente	20/02/2017	fevereiro	quinta-feira	Noite	Itapeva	MG	Café	Três Corações	MG	Santos	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	20/02/2017	fevereiro	quinta-feira	Tarde	Iatí	PE	Hig/Limp/Cosm	Louveira	SP	Jaboatão dos Guararapes	PE	5 - Acima de R$ 1.000.000	Funcionário
Roubo/Furto	21/02/2017	fevereiro	quinta-feira	Sem Inf	Sete Lagoas	MG	Bebidas	Janaúba	MG	Sete lagoas	MG	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	21/02/2017	fevereiro	quinta-feira	Madrugada	Campo do Tenente	PR	Maquinário	Porto Alegre	RS	Itumbiara	GO	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	21/02/2017	fevereiro	quinta-feira	Madrugada	Queluz	SP	Confecção/Tecido/Fios	Itaguaí	RJ	São Paulo	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	22/02/2017	fevereiro	quinta-feira	Noite	Caiaponia	GO	Laticínios	Nova Xavantina	MT	São Paulo	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	22/02/2017	fevereiro	quinta-feira	Madrugada	Aparecida	SP	Alumínio	Juiz de Fora	MG	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	22/02/2017	fevereiro	quinta-feira	Manhã	Corinto	MG	Químico	Camaçari	BA	Indaiatuba	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	23/02/2017	fevereiro	quinta-feira	Madrugada	Rio de Janeiro	RJ	Geral	Rio de Janeiro	RJ	Diversos	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	23/02/2017	fevereiro	quinta-feira	Noite	Bom Jesus de Goiás	GO	Óleo Comestível	Rondonópolis	MT	Uberlândia	MG	1 - De R$ 100.000 a R$ 200.000	Autônomo
Outros	23/02/2017	fevereiro	quinta-feira	Sem Inf	Panamá	EX	Maquinário	São Paulo	SP	Panamá	EX	5 - Acima de R$ 1.000.000	S/Comprovação
Acidente	24/02/2017	fevereiro	quinta-feira	Manhã	Cachoeira de Carmo	MG	Confecção/Tecido/Fios	Guarulhos	SP	Currais Novos	RN	2 - Até R$ 300.000	S/Comprovação
Acidente	02/03/2017	março	segunda-feira	Noite	AntonIna	PR	Específicas	Blumenau	SC	Osasco	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	02/03/2017	março	segunda-feira	Noite	Santa Cruz da Conceição	SP	Fios/Cabos	Sorocaba	SP	Brasilia	DF	3 - Até R$ 500.000	Autônomo
Roubo/Furto	02/03/2017	março	segunda-feira	Manhã	Arujá	SP	Polímeros	Duque de Caxias	RJ	Rio Negro	PR	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	03/03/2017	março	segunda-feira	Madrugada	Niterói	RJ	Hig/Limp/Cosm	Louveira	SP	Serra	ES	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	03/03/2017	março	segunda-feira	Sem Inf	Mogi das Cruzes	SP	Aço/Ferro	Mogi das Cruzes	SP	Cachoeirinha	RS	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	03/03/2017	março	segunda-feira	Madrugada	Prata	MG	Combustível	Paulínia	SP	Senador Canedo	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	03/03/2017	março	segunda-feira	Sem Inf	Cabo de Santo Agostinho	PE	Bebidas	Cabo de Santo Agostinho	PE	Patos	PB	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	06/03/2017	março	terça-feira	Madrugada	Atibaia	SP	Confecção/Tecido/Fios	Feira de Santana	BA	Guarulhos	SP	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	06/03/2017	março	terça-feira	Madrugada	Jundiaí	SP	E-Commerce	Itapevi	SP	Hortolandia	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	06/03/2017	março	terça-feira	Tarde	São Paulo	SP	Polímeros	Paulínia	SP	Betim	MG	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	06/03/2017	março	terça-feira	Sem Inf	Goiatuba	GO	Específicas	Itumbiara	GO	Goiânia	GO	2 - Até R$ 300.000	Autônomo
Roubo/Furto	07/03/2017	março	terça-feira	Manhã	São Paulo	SP	Confecção/Tecido/Fios	Guarulhos	SP	Exterior	EX	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	07/03/2017	março	terça-feira	Noite	Porto Real do Colégio	AL	Hig/Limp/Cosm	Vinhedo	SP	Ipojuca	PE	3 - Até R$ 500.000	Funcionário
Roubo/Furto	08/03/2017	março	terça-feira	Madrugada	Pardinho	SP	E-Commerce	Itapevi	SP	Bauru	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	09/03/2017	março	terça-feira	Tarde	São Roque	SP	E-Commerce	Hortolandia	SP	Barueri	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	12/03/2017	março	quarta-feira	Tarde	Rio de Janeiro	RJ	Pescado	Rio de Janeiro	RJ	Rio de Janeiro	RJ	2 - Até R$ 300.000	Funcionário
Roubo/Furto	13/03/2017	março	quarta-feira	Noite	São Gonçalo	RJ	Específicas	Guarulhos	SP	Maricá	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	13/03/2017	março	quarta-feira	Noite	Eldorado dos Carajás	PA	Alimentício	Conceição do Araguaia	PA	Breu Branco	PA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	15/03/2017	março	quarta-feira	Noite	Rio de Janeiro	RJ	Específicas	Porto Alegre	RS	Rio de Janeiro	RJ	2 - Até R$ 300.000	Funcionário
Acidente	15/03/2017	março	quarta-feira	Madrugada	Oliveira	MG	Geral	São Paulo	SP	Sete lagoas	MG	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	15/03/2017	março	quarta-feira	Noite	Guarulhos	SP	Alumínio	São Paulo	SP	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	15/03/2017	março	quarta-feira	Noite	Nova Iguaçú	RJ	Confecção/Tecido/Fios	Rio de Janeiro	RJ	Amparo	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	15/03/2017	março	quarta-feira	Noite	Cachoeira Paulista	SP	Polímeros	Duque de Caxias	RJ	Londrina	PR	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	17/03/2017	março	quarta-feira	Manhã	Presidente Venceslau	SP	Alimentício	Nova Londrina	PR	Fortaleza	CE	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	17/03/2017	março	quarta-feira	Madrugada	Arujá	SP	E-Commerce	Itapevi	SP	São José de Campos	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	18/03/2017	março	quarta-feira	Manhã	Rio de Janeiro	RJ	Tubos e Conexões	Rio Claro	SP	Rio de Janeiro	RJ	2 - Até R$ 300.000	Autônomo
Roubo/Furto	18/03/2017	março	quarta-feira	Madrugada	Araquari	SC	Aço/Ferro	São Francisco	SC	Araquari	SC	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	18/03/2017	março	quarta-feira	Tarde	Vitória de Santo Antão	PE	E-commerce	Recife	PE	Santa Inês	MA	2 - Até R$ 300.000	Autônomo
Roubo/Furto	18/03/2017	março	quarta-feira	Sem Inf	São Paulo	SP	Aço/Ferro	São Paulo	SP	Jaboatão dos Guararapes	PE	2 - Até R$ 300.000	Autônomo
Roubo/Furto	19/03/2017	março	quinta-feira	Tarde	Paranatama	PE	Hig/Limp/Cosm	Louveira	SP	João Pessoa	PB	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	20/03/2017	março	quinta-feira	Manhã	São Bernardo do Campo	SP	Confecção/Tecido/Fios	Barueri	SP	São Bernardo do Campo	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	21/03/2017	março	quinta-feira	Madrugada	Barbacena	MG	Específicas	Contagem	MG	Duque de Caxias	RJ	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	21/03/2017	março	quinta-feira	Sem Inf	Talismã	TO	Hig/Limp/Cosm	Amparo	SP	São Luiz	MA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	22/03/2017	março	quinta-feira	Manhã	São Cristovâo do Sul	SC	Alimentício	Antônio Prado	RS	Nerópolis	GO	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	22/03/2017	março	quinta-feira	Manhã	São João do Meriti	RJ	Frigorífico	Várzea Grande	MT	Rio de Janeiro	RJ	3 - Até R$ 500.000	Autônomo
Roubo/Furto	22/03/2017	março	quinta-feira	Madrugada	Luziania	GO	Bebidas	Pirassununga	SP	Brasilia	DF	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	23/03/2017	março	quinta-feira	Noite	Guarulhos	SP	Aço/Ferro	Guarulhos	SP	Sertãozinho	SP	2 - Até R$ 300.000	Autônomo
Outros	23/03/2017	março	quinta-feira	Sem Inf	Anapú	PA	Maquinário	Alemanha	EX	Belém	PA	5 - Acima de R$ 1.000.000	S/Comprovação
Outros	23/03/2017	março	quinta-feira	Manhã	Inhapim	MG	Alumínio	Pindamonhangaba	SP	Alagoinhas	BA	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	24/03/2017	março	quinta-feira	Madrugada	Jaraguá	SP	E-Commerce	Itapevi	SP	Jundiaí	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	25/03/2017	março	quinta-feira	Sem Inf	Cachoeirinha	RS	Cobre	Cachoeirinha	RS	São João da Boa Vista	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	25/03/2017	março	quinta-feira	Noite	Arujá	SP	Calçados	São Paulo	SP	Recife	PE	4 - Até R$ 1.000.000	Autônomo
Acidente	26/03/2017	março	sexta-feira	Madrugada	Wanderlândia	TO	Alimentício	Contagem	MG	Benevides	PA	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	26/03/2017	março	sexta-feira	Tarde	Rio de Janeiro	RJ	Polímeros	Duque de Caxias	RJ	Camaçari	BA	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	26/03/2017	março	sexta-feira	Noite	Barra Velha	SC	Doces/Chocolate	Argentina	EX	Poços de Caldas	MG	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	27/03/2017	março	sexta-feira	Madrugada	São José do Rio Preto	SP	Aço/Ferro	Sabará	MG	Três Lagoas	MS	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	27/03/2017	março	sexta-feira	Noite	Nova Era	MG	Específicas	Contagem	MG	Feira de Santana	BA	4 - Até R$ 1.000.000	Agregado
Roubo/Furto	28/03/2017	março	sexta-feira	Noite	Mairiporã	SP	Frigorífico	Janaúba	MG	Guarujá	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	29/03/2017	março	sexta-feira	Manhã	Mauá	SP	Polímeros	Duque de Caxias	RJ	Maua	SP	1 - De R$ 100.000 a R$ 200.000	Agregado
Roubo/Furto	29/03/2017	março	sexta-feira	Tarde	Mauá	SP	Polímeros	Duque de Caxias	RJ	Mauá	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	30/03/2017	março	sexta-feira	Tarde	Atibaia	SP	Pescado	Florianópolis	SC	Sapé	PE	2 - Até R$ 300.000	Autônomo
Roubo/Furto	30/03/2017	março	sexta-feira	Manhã	Rio de Janeiro	RJ	Fios/Cabos	Sorocaba	SP	Rio de Janeiro	RJ	2 - Até R$ 300.000	Autônomo
Roubo/Furto	31/03/2017	março	sexta-feira	Noite	Cachoeira do Pajeú	MG	Alimentício	Monte Alto	SP	Igarassu	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	31/03/2017	março	sexta-feira	Tarde	Rio de Janeiro	RJ	Hig/Limp/Cosm	Louveira	SP	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	31/03/2017	março	sexta-feira	Madrugada	Professor Jamil	GO	E-Commerce	Uberlândia	MG	Goianésia	GO	1 - De R$ 100.000 a R$ 200.000	Autônomo
