id_cliente;cliente_sexo;cliente_idade;cliente_renda_estimada;loja_uf;loja_cidade;valor_medio_compra
10387;Feminino;34;Entre 2.500 e 4.999;SP;SÃO PAULO;343
10567;Feminino;54;Maior que 10.000;RJ;RIO DE JANEIRO;459
10676;Feminino;38;Entre 2.500 e 4.999;SP;SÃO PAULO;181
10709;Feminino;38;Maior que 10.000;RJ;RIO DE JANEIRO;512
10756;Feminino;45;Entre 2.500 e 4.999;SP;SÃO PAULO;202
14304;Masculino;58;Maior que 10.000;RJ;RIO DE JANEIRO;174
14488;Feminino;63;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;300
14546;Feminino;25;Maior que 10.000;RJ;RIO DE JANEIRO;153
14602;Feminino;28;Entre 2.500 e 4.999;SP;SÃO PAULO;245
15132;Feminino;27;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;330
15174;Feminino;33;Entre 2.500 e 4.999;SP;SÃO PAULO;369
15307;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;82
15387;Feminino;23;Entre 2.500 e 4.999;SP;SÃO PAULO;74
15445;Feminino;40;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;210
15462;Feminino;33;Maior que 10.000;RJ;RIO DE JANEIRO;500
15534;Feminino;51;Entre 5.000 e 9.999;SP;CAMPINAS;68
15613;Feminino;32;Entre 5.000 e 9.999;SP;SÃO PAULO;382
15838;Feminino;32;Entre 2.500 e 4.999;SP;SÃO PAULO;228
15933;Masculino;40;Maior que 10.000;SP;SÃO PAULO;337
15987;Masculino;50;Entre 2.500 e 4.999;SP;SÃO PAULO;265
16264;Feminino;52;Maior que 10.000;RJ;RIO DE JANEIRO;96
16354;Feminino;42;Entre 2.500 e 4.999;SP;SÃO PAULO;58
16440;Feminino;26;Entre 2.500 e 4.999;SP;SÃO PAULO;115
16509;Feminino;25;Maior que 10.000;RJ;RIO DE JANEIRO;100
16561;Feminino;24;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;124
16590;Masculino;33;Entre 2.500 e 4.999;SP;SÃO PAULO;25
16983;Feminino;62;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;178
17021;Feminino;50;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;596
17027;Feminino;52;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;141
17199;Masculino;61;Entre 5.000 e 9.999;SP;SÃO PAULO;407
17218;Masculino;50;Maior que 10.000;SP;SÃO PAULO;120
17928;Feminino;59;Entre 2.500 e 4.999;SP;SÃO PAULO;140
18097;Feminino;29;Entre 2.500 e 4.999;SP;SÃO PAULO;94
18119;Feminino;24;Entre 2.500 e 4.999;SP;SÃO PAULO;146
18416;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;90
18489;Feminino;41;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;140
18500;Masculino;26;Entre 5.000 e 9.999;SP;SÃO PAULO;82
18702;Masculino;35;Maior que 10.000;RJ;RIO DE JANEIRO;151
18709;Masculino;22;Entre 5.000 e 9.999;MG;BELO HORIZONTE;150
18798;Masculino;55;Entre 2.500 e 4.999;SP;SÃO PAULO;145
18819;Masculino;32;Maior que 10.000;SP;SÃO PAULO;0
18877;Feminino;32;Entre 2.500 e 4.999;SP;SÃO PAULO;588
18969;Feminino;40;Maior que 10.000;RJ;RIO DE JANEIRO;180
19425;Feminino;44;Maior que 10.000;RJ;RIO DE JANEIRO;142
19668;Feminino;23;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;440
20011;Feminino;62;Maior que 10.000;RJ;RIO DE JANEIRO;259
20072;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;36
20265;Masculino;21;Maior que 10.000;RJ;RIO DE JANEIRO;105
20316;Masculino;41;Entre 2.500 e 4.999;SP;SÃO PAULO;442
2305;Masculino;31;Entre 5.000 e 9.999;SP;SÃO BERNARDO DO CAMPO;178
2317;Feminino;23;Maior que 10.000;RJ;RIO DE JANEIRO;110
2328;Feminino;23;Maior que 10.000;RJ;RIO DE JANEIRO;125
2329;Masculino;38;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;603
2414;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;168
2423;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;208
2657;Masculino;43;Entre 2.500 e 4.999;SP;SÃO PAULO;230
2775;Feminino;37;Maior que 10.000;RJ;RIO DE JANEIRO;35
3340;Feminino;18;Maior que 10.000;SP;SÃO PAULO;117
3744;Feminino;40;Maior que 10.000;RJ;RIO DE JANEIRO;124
3840;Feminino;22;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;165
3887;Feminino;35;Entre 5.000 e 9.999;SP;SÃO PAULO;100
4357;Masculino;44;Entre 2.500 e 4.999;SP;SÃO PAULO;300
4518;Feminino;33;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;228
4581;Feminino;27;Maior que 10.000;RJ;RIO DE JANEIRO;112
5341;Feminino;52;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;69
5350;Masculino;28;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;101
5475;Feminino;29;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;214
5552;Feminino;42;Entre 5.000 e 9.999;MG;BELO HORIZONTE;57
5696;Feminino;17;Maior que 10.000;SP;SÃO PAULO;157
5956;Feminino;49;Maior que 10.000;RJ;RIO DE JANEIRO;157
6108;Feminino;50;Entre 2.500 e 4.999;SP;SÃO PAULO;225
6164;Feminino;42;Maior que 10.000;RJ;RIO DE JANEIRO;543
6381;Feminino;26;Maior que 10.000;RJ;RIO DE JANEIRO;103
6464;Feminino;31;Entre 2.500 e 4.999;SP;SÃO PAULO;252
6471;Feminino;31;Maior que 10.000;SP;CAMPINAS;812
6514;Feminino;27;Maior que 10.000;RJ;RIO DE JANEIRO;117
6597;Masculino;21;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;125
6599;Masculino;35;Entre 2.500 e 4.999;SP;SÃO PAULO;373
6698;Feminino;21;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;78
6701;Feminino;39;Entre 5.000 e 9.999;SP;SAO PAULO;70
7352;Feminino;22;Entre 2.500 e 4.999;SP;SÃO PAULO;211
7567;Feminino;17;Entre 5.000 e 9.999;SP;SÃO PAULO;30
7574;Feminino;56;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;212
7705;Feminino;21;Entre 2.500 e 4.999;SP;SÃO PAULO;52
7973;Feminino;51;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;164
8213;Feminino;42;Maior que 10.000;RJ;RIO DE JANEIRO;333
8322;Masculino;62;Maior que 10.000;RJ;RIO DE JANEIRO;108
8399;Feminino;19;Entre 5.000 e 9.999;SP;SÃO PAULO;155
8417;Feminino;35;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;65
8731;Masculino;44;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;138
8741;Feminino;27;Maior que 10.000;SP;SÃO PAULO;110
8937;Feminino;22;Maior que 10.000;SP;SÃO PAULO;267
9103;Feminino;37;Maior que 10.000;RJ;RIO DE JANEIRO;120
9120;Masculino;18;Maior que 10.000;RJ;RIO DE JANEIRO;107
9189;Masculino;35;Maior que 10.000;RJ;RIO DE JANEIRO;97
9395;Feminino;45;Entre 2.500 e 4.999;SP;SÃO PAULO;248
9490;Feminino;28;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;140
9617;Feminino;34;Entre 5.000 e 9.999;SP;SÃO PAULO;87
10115;Feminino;42;Maior que 10.000;RJ;RIO DE JANEIRO;218
10122;Masculino;38;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;238
10267;Feminino;51;Maior que 10.000;RJ;RIO DE JANEIRO;164
10538;Feminino;27;Maior que 10.000;SP;CAMPINAS;79
10686;Feminino;35;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;259
10767;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;187
10772;Feminino;16;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;811
10833;Masculino;63;Entre 2.500 e 4.999;SP;SÃO PAULO;351
13763;Feminino;59;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;158
13775;Masculino;50;Maior que 10.000;SP;SÃO PAULO;200
14160;Feminino;44;Maior que 10.000;RJ;RIO DE JANEIRO;364
14188;Feminino;47;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;151
14210;Feminino;32;Maior que 10.000;RJ;RIO DE JANEIRO;204
14597;Feminino;44;Entre 2.500 e 4.999;SP;SÃO PAULO;557
14628;Feminino;47;Maior que 10.000;RJ;RIO DE JANEIRO;135
14691;Feminino;18;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;14
14726;Feminino;35;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;500
14947;Feminino;33;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;475
14960;Feminino;42;Maior que 10.000;RJ;RIO DE JANEIRO;122
14964;Masculino;30;Entre 2.500 e 4.999;SP;SÃO PAULO;174
15017;Masculino;23;Maior que 10.000;RJ;RIO DE JANEIRO;35
15068;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;130
15076;Masculino;30;Maior que 10.000;RJ;RIO DE JANEIRO;289
15127;Feminino;35;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;190
15145;Feminino;37;Entre 2.500 e 4.999;SP;SÃO PAULO;156
15219;Masculino;36;Maior que 10.000;SP;SÃO PAULO;422
15245;Feminino;33;Entre 5.000 e 9.999;SP;SÃO PAULO;251
15354;Feminino;33;Maior que 10.000;RJ;RIO DE JANEIRO;245
15381;Feminino;48;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;428
15427;Feminino;22;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;262
15430;Feminino;43;Entre 5.000 e 9.999;SP;SÃO PAULO;125
15631;Feminino;24;Entre 2.500 e 4.999;SP;SÃO PAULO;104
15733;Masculino;44;Maior que 10.000;RJ;RIO DE JANEIRO;223
16158;Feminino;35;Entre 5.000 e 9.999;SP;CAMPINAS;109
16282;Feminino;65;Maior que 10.000;RJ;RIO DE JANEIRO;128
16529;Feminino;38;Maior que 10.000;RJ;RIO DE JANEIRO;537
16852;Feminino;34;Entre 2.500 e 4.999;SP;SÃO PAULO;90
17032;Feminino;43;Maior que 10.000;RJ;RIO DE JANEIRO;307
17879;Feminino;30;Entre 5.000 e 9.999;SP;SÃO PAULO;251
17885;Feminino;23;Maior que 10.000;MG;BELO HORIZONTE;110
18155;Masculino;37;Entre 5.000 e 9.999;SP;SÃO PAULO;92
18176;Masculino;43;Maior que 10.000;RJ;RIO DE JANEIRO;79
18201;Feminino;57;Maior que 10.000;SP;SÃO PAULO;268
18206;Masculino;24;Entre 2.500 e 4.999;SP;SÃO PAULO;120
0;Masculino;23;Maior que 10.000;RJ;RIO DE JANEIRO;520
2300;Feminino;16;Maior que 10.000;RJ;RIO DE JANEIRO;101
2641;Feminino;31;Maior que 10.000;RJ;RIO DE JANEIRO;106
2850;Feminino;26;Entre 5.000 e 9.999;SP;SÃO PAULO;206
3539;Feminino;27;Entre 2.500 e 4.999;SP;SÃO PAULO;521
3777;Masculino;32;Maior que 10.000;RJ;RIO DE JANEIRO;95
3866;Feminino;21;Maior que 10.000;RJ;RIO DE JANEIRO;132
4242;Feminino;18;Entre 5.000 e 9.999;SP;SÃO PAULO;135
4438;Feminino;26;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;167
4476;Masculino;33;Maior que 10.000;RJ;RIO DE JANEIRO;196
4821;Feminino;42;Maior que 10.000;RJ;RIO DE JANEIRO;242
5143;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;258
5470;Feminino;47;Maior que 10.000;SP;SÃO PAULO;330
5689;Feminino;24;Maior que 10.000;RJ;RIO DE JANEIRO;126
6039;Feminino;34;Entre 2.500 e 4.999;SP;SÃO PAULO;284
6208;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;248
6530;Feminino;18;Maior que 10.000;RJ;RIO DE JANEIRO;185
6598;Feminino;51;Maior que 10.000;RJ;RIO DE JANEIRO;539
6641;Feminino;23;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;99
6897;Feminino;37;Entre 2.500 e 4.999;SP;SÃO PAULO;178
6923;Feminino;34;Maior que 10.000;RJ;RIO DE JANEIRO;138
6931;Feminino;20;Maior que 10.000;RJ;RIO DE JANEIRO;106
6943;Feminino;30;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;142
7014;Feminino;36;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;614
7293;Feminino;22;Entre 5.000 e 9.999;SP;SÃO PAULO;236
7370;Feminino;66;Entre 5.000 e 9.999;SP;SÃO PAULO;262
7523;Feminino;22;Entre 5.000 e 9.999;SP;SÃO PAULO;76
7916;Feminino;28;Maior que 10.000;RJ;RIO DE JANEIRO;209
7964;Feminino;41;Maior que 10.000;RJ;RIO DE JANEIRO;243
7977;Masculino;50;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;830
8411;Feminino;21;Entre 2.500 e 4.999;SP;SÃO PAULO;124
8620;Feminino;19;Maior que 10.000;RJ;RIO DE JANEIRO;200
8749;Feminino;37;Maior que 10.000;RJ;RIO DE JANEIRO;183
8854;Feminino;24;Entre 2.500 e 4.999;SP;SÃO PAULO;464
9050;Feminino;29;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;289
9079;Masculino;21;Entre 2.500 e 4.999;SP;SÃO PAULO;75
9207;Feminino;54;Maior que 10.000;RJ;RIO DE JANEIRO;35
9408;Feminino;17;Entre 5.000 e 9.999;SP;SÃO PAULO;86
9458;Feminino;38;Entre 2.500 e 4.999;SP;SÃO PAULO;266
9789;Feminino;49;Entre 5.000 e 9.999;SP;SÃO PAULO;224
9864;Feminino;22;Maior que 10.000;RJ;RIO DE JANEIRO;84
9868;Feminino;30;Maior que 10.000;RJ;RIO DE JANEIRO;107
9876;Feminino;19;Entre 5.000 e 9.999;SP;CAMPINAS;88
9943;Feminino;55;Entre 2.500 e 4.999;SP;SÃO PAULO;227
10013;Feminino;21;Maior que 10.000;RJ;RIO DE JANEIRO;125
10110;Feminino;23;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;339
10151;Feminino;28;Maior que 10.000;RJ;RIO DE JANEIRO;324
10229;Feminino;44;Entre 2.500 e 4.999;SP;SÃO PAULO;114
10421;Feminino;52;Entre 2.500 e 4.999;SP;SÃO PAULO;140
10832;Feminino;31;Maior que 10.000;RJ;RIO DE JANEIRO;147
13672;Feminino;29;Entre 5.000 e 9.999;SP;SÃO BERNARDO DO CAMPO;158
13692;Feminino;48;Maior que 10.000;RJ;RIO DE JANEIRO;223
13703;Feminino;25;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;185
13869;Feminino;25;Entre 5.000 e 9.999;SP;SÃO PAULO;132
13886;Feminino;24;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;150
14193;Masculino;23;Entre 5.000 e 9.999;MG;BELO HORIZONTE;60
14259;Feminino;41;Maior que 10.000;RJ;RIO DE JANEIRO;66
14380;Feminino;33;Maior que 10.000;SP;SÃO PAULO;192
14491;Feminino;63;Maior que 10.000;RJ;RIO DE JANEIRO;75
14581;Feminino;25;Maior que 10.000;RJ;RIO DE JANEIRO;112
14630;Feminino;33;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;76
14928;Feminino;26;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;345
14964;Masculino;35;Entre 2.500 e 4.999;SP;SÃO PAULO;92
15121;Feminino;36;Maior que 10.000;SP;SÃO PAULO;124
15822;Feminino;57;Maior que 10.000;RJ;RIO DE JANEIRO;118
15846;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;121
15906;Masculino;28;Maior que 10.000;RJ;RIO DE JANEIRO;210
15953;Feminino;32;Entre 2.500 e 4.999;SP;SÃO PAULO;263
16005;Feminino;41;Entre 2.500 e 4.999;SP;SÃO PAULO;150
16138;Feminino;49;Maior que 10.000;RJ;RIO DE JANEIRO;144
16280;Feminino;45;Entre 5.000 e 9.999;MG;BELO HORIZONTE;330
16430;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;85
16667;Feminino;49;Maior que 10.000;SP;SÃO PAULO;154
16797;Feminino;63;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;237
16806;Feminino;66;Entre 2.500 e 4.999;SP;SÃO PAULO;223
16885;Feminino;72;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;184
17141;Feminino;29;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;121
17409;Feminino;36;Entre 2.500 e 4.999;SP;SÃO PAULO;28
17536;Feminino;39;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;330
17718;Feminino;40;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;165
17896;Feminino;34;Entre 5.000 e 9.999;SP;SÃO PAULO;231
18125;Feminino;33;Maior que 10.000;RJ;RIO DE JANEIRO;26
18232;Masculino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;124
18429;Feminino;62;Maior que 10.000;RJ;RIO DE JANEIRO;394
18440;Feminino;30;Maior que 10.000;SP;SÃO PAULO;124
18675;Feminino;41;Entre 5.000 e 9.999;SP;SÃO PAULO;180
18826;Feminino;23;Entre 2.500 e 4.999;SP;SÃO PAULO;129
18870;Masculino;52;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;328
19065;Feminino;26;Entre 2.500 e 4.999;SP;SÃO PAULO;90
19643;Masculino;22;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;59
20007;Feminino;28;Entre 2.500 e 4.999;SP;SÃO PAULO;271
20182;Masculino;18;Entre 2.500 e 4.999;SP;SÃO PAULO;58
5;Feminino;24;Maior que 10.000;RJ;RIO DE JANEIRO;40
2310;Feminino;39;Maior que 10.000;RJ;RIO DE JANEIRO;173
2354;Masculino;56;Maior que 10.000;RJ;RIO DE JANEIRO;210
2369;Feminino;22;Entre 2.500 e 4.999;SP;SÃO PAULO;220
2424;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;93
2815;Masculino;32;Entre 5.000 e 9.999;MG;BELO HORIZONTE;140
2828;Feminino;18;Entre 2.500 e 4.999;SP;SÃO PAULO;109
2959;Feminino;42;Entre 2.500 e 4.999;SP;SÃO PAULO;140
3561;Masculino;17;Maior que 10.000;RJ;RIO DE JANEIRO;46
3759;Feminino;16;Maior que 10.000;RJ;RIO DE JANEIRO;60
3821;Feminino;26;Maior que 10.000;RJ;RIO DE JANEIRO;171
3876;Feminino;51;Maior que 10.000;RJ;RIO DE JANEIRO;85
4471;Feminino;51;Entre 2.500 e 4.999;SP;SÃO PAULO;226
4885;Feminino;20;Maior que 10.000;RJ;RIO DE JANEIRO;110
5699;Feminino;31;Entre 5.000 e 9.999;SP;SÃO PAULO;142
5863;Masculino;24;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;120
5943;Masculino;31;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;93
5959;Feminino;32;Entre 2.500 e 4.999;SP;SÃO PAULO;207
5977;Feminino;39;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;116
6051;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;190
6303;Feminino;34;Entre 2.500 e 4.999;SP;SÃO PAULO;864
6419;Masculino;43;Entre 2.500 e 4.999;SP;SÃO PAULO;235
6582;Feminino;20;Maior que 10.000;RJ;RIO DE JANEIRO;1262
6609;Masculino;24;Entre 5.000 e 9.999;SP;SÃO PAULO;130
6620;Feminino;28;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;212
6850;Feminino;52;Entre 5.000 e 9.999;SP;SAO PAULO;646
6885;Masculino;65;Maior que 10.000;RJ;RIO DE JANEIRO;135
6937;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;119
6944;Feminino;60;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;80
6946;Feminino;41;Entre 5.000 e 9.999;SP;SÃO PAULO;291
6952;Feminino;43;Maior que 10.000;RJ;RIO DE JANEIRO;190
7028;Feminino;25;Entre 5.000 e 9.999;SP;SÃO PAULO;619
7340;Feminino;17;Maior que 10.000;RJ;RIO DE JANEIRO;178
7446;Masculino;57;Maior que 10.000;RJ;RIO DE JANEIRO;404
7471;Feminino;35;Entre 5.000 e 9.999;SP;SÃO PAULO;82
7555;Feminino;14;Maior que 10.000;RJ;RIO DE JANEIRO;100
7599;Feminino;25;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;110
7771;Feminino;42;Entre 5.000 e 9.999;SP;SÃO PAULO;218
8127;Masculino;34;Maior que 10.000;RJ;RIO DE JANEIRO;311
8137;Feminino;24;Entre 5.000 e 9.999;CE;FORTALEZA;248
8407;Feminino;34;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;192
8596;Feminino;25;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;304
8705;Feminino;25;Entre 5.000 e 9.999;SP;SÃO PAULO;85
8905;Masculino;20;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;141
9032;Feminino;54;Entre 2.500 e 4.999;SP;SÃO PAULO;240
9051;Feminino;20;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;109
9231;Feminino;28;Maior que 10.000;RJ;RIO DE JANEIRO;126
9348;Feminino;22;Maior que 10.000;RJ;RIO DE JANEIRO;146
9556;Feminino;31;Maior que 10.000;SP;CAMPINAS;244
9560;Feminino;32;Maior que 10.000;RJ;RIO DE JANEIRO;116
9807;Masculino;41;Entre 2.500 e 4.999;SP;SÃO PAULO;70
10190;Feminino;26;Maior que 10.000;RJ;RIO DE JANEIRO;179
10207;Feminino;30;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;155
10365;Feminino;28;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;343
10489;Feminino;25;Entre 5.000 e 9.999;SP;SÃO PAULO;96
10649;Masculino;42;Maior que 10.000;RJ;RIO DE JANEIRO;779
10778;Feminino;32;Maior que 10.000;RJ;RIO DE JANEIRO;958
13660;Feminino;22;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;189
13732;Feminino;31;Maior que 10.000;RJ;RIO DE JANEIRO;181
13785;Feminino;37;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;38
14258;Masculino;14;Maior que 10.000;RJ;RIO DE JANEIRO;102
14407;Feminino;23;Maior que 10.000;RJ;RIO DE JANEIRO;140
14453;Feminino;46;Maior que 10.000;RJ;RIO DE JANEIRO;97
14509;Masculino;58;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;232
14613;Feminino;24;Entre 5.000 e 9.999;SP;SÃO PAULO;479
14614;Feminino;28;Entre 5.000 e 9.999;SP;SÃO PAULO;378
14882;Masculino;27;Maior que 10.000;SP;SÃO PAULO;38
14922;Feminino;49;Entre 2.500 e 4.999;SP;SÃO PAULO;275
14985;Feminino;33;Entre 5.000 e 9.999;SP;SÃO PAULO;179
15045;Feminino;29;Entre 5.000 e 9.999;SP;SÃO PAULO;73
15379;Feminino;47;Entre 2.500 e 4.999;SP;SÃO PAULO;162
15937;Feminino;27;Entre 2.500 e 4.999;SP;SÃO PAULO;55
16269;Feminino;63;Maior que 10.000;RJ;RIO DE JANEIRO;199
16477;Feminino;29;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;54
16717;Feminino;43;Maior que 10.000;RJ;RIO DE JANEIRO;224
16830;Feminino;52;Entre 5.000 e 9.999;SP;SÃO PAULO;182
16847;Feminino;58;Maior que 10.000;RJ;RIO DE JANEIRO;161
16953;Feminino;24;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;110
17013;Feminino;38;Maior que 10.000;RJ;RIO DE JANEIRO;358
17094;Feminino;65;Maior que 10.000;RJ;RIO DE JANEIRO;155
17406;Feminino;36;Entre 2.500 e 4.999;SP;SÃO PAULO;310
17610;Feminino;49;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;147
17647;Masculino;28;Maior que 10.000;SP;SÃO PAULO;74
17752;Masculino;47;Maior que 10.000;RJ;RIO DE JANEIRO;245
