Market;Commodity;Variety;Grade;Price
Pathalgaon;Paddy(Dhan)(Common);Common;FAQ;1650
Kawardha;Arhar (Tur/Red Gram)(Whole);Other;FAQ;7700
Kawardha;Bengal Gram(Gram)(Whole);Kanta;FAQ;4475
Kawardha;Soyabean;Yellow;FAQ;5000
Pipriya;Kodo Millet(Varagu);Other;FAQ;2600
Bhanupratappur;Paddy(Dhan)(Common);I.R. 36;FAQ;1600
Charama;Paddy(Dhan)(Common);Other;FAQ;1920
Korar;Paddy(Dhan)(Common);I.R. 36;FAQ;1600
Lakhanpuri;Paddy(Dhan)(Common);Other;FAQ;1920
Narharpur;Paddy(Dhan)(Common);Other;FAQ;1920
Sambalpur;Paddy(Dhan)(Common);I.R. 36;FAQ;1600
Manendragarh;Mahua Seed(Hippe seed);Other;FAQ;3000
Abhanpur;Paddy(Dhan)(Common);Common;FAQ;1225
Abhanpur;Paddy(Dhan)(Common);I.R.-64;FAQ;1800
Arang;Paddy(Dhan)(Common);Paddy Medium;FAQ;1955
Rajnandgaon;Apple;Apple;Medium;11000
Rajnandgaon;Banana;Banana - Ripe;Medium;4500
Rajnandgaon;Bhindi(Ladies Finger);Bhindi;FAQ;4000
Rajnandgaon;Bitter gourd;Bitter Gourd;FAQ;2000
Rajnandgaon;Brinjal;Brinjal;FAQ;800
Rajnandgaon;Cabbage;Cabbage;FAQ;300
Rajnandgaon;Capsicum;Capsicum;FAQ;1500
Rajnandgaon;Lemon;Lemon;FAQ;4000
Rajnandgaon;Mousambi(Sweet Lime);Mousambi;Medium;6000
Rajnandgaon;Onion;Onion;FAQ;1000
Rajnandgaon;Orange;Orange;Medium;5000
Rajnandgaon;Potato;Potato;FAQ;800
Rajnandgaon;Raddish;Raddish;FAQ;1000
Rajnandgaon;Tomato;Local;FAQ;300
Pratappur;Wheat;Medium;FAQ;2015
Surajpur;Wheat;Other;FAQ;2015
Sanquelim;Arecanut(Betelnut/Supari);Red;FAQ;31450
Sanquelim;Arecanut(Betelnut/Supari);Supari;FAQ;34700
Sanquelim;Arecanut(Betelnut/Supari);White;FAQ;32450
Babra;Bhindi(Ladies Finger);Bhindi;FAQ;8225
Babra;Cummin Seed(Jeera);Other;FAQ;25500
Babra;Groundnut;Other;FAQ;6350
Bagasara;Arhar (Tur/Red Gram)(Whole);777 New Ind;FAQ;6725
Bagasara;Bengal Gram(Gram)(Whole);Desi (Whole);FAQ;3927
Bagasara;Corriander seed;A-1, Green;FAQ;6040
Bagasara;Cotton;Other;FAQ;7867
Bagasara;Groundnut;Balli/Habbu;FAQ;6907
Bagasara;Sesamum(Sesame,Gingelly,Til);95/5;FAQ;15202
Bagasara;Wheat;Lokwan Gujrat;FAQ;2240
Damnagar;Bhindi(Ladies Finger);Bhindi;FAQ;2250
Damnagar;Brinjal;Other;FAQ;2750
Damnagar;Cabbage;Cabbage;FAQ;2200
Damnagar;Cauliflower;Cauliflower;FAQ;1200
Damnagar;Coriander(Leaves);Coriander;FAQ;1700
Damnagar;Ginger(Green);Green Ginger;FAQ;2750
Damnagar;Green Chilli;Green Chilly;FAQ;2250
Damnagar;Guar;Gwar;FAQ;1850
Damnagar;Lemon;Lemon;FAQ;3800
Damnagar;Tomato;Local;FAQ;3350
Vav;Castor Seed;Other;FAQ;6589,4
Vav;Cummin Seed(Jeera);Other;FAQ;25790
Vav;Guar Seed(Cluster Beans Seed);Other;FAQ;5425
Vav;Mustard;Other;FAQ;5005
Ankleshwar;Bhindi(Ladies Finger);Bhindi;FAQ;2200
Ankleshwar;Bottle gourd;Bottle Gourd;FAQ;600
Ankleshwar;Brinjal;Brinjal;FAQ;600
Ankleshwar;Cabbage;Cabbage;FAQ;500
Ankleshwar;Carrot;Carrot;FAQ;1100
Ankleshwar;Cauliflower;Cauliflower;FAQ;600
Ankleshwar;Coriander(Leaves);Coriander;FAQ;600
Ankleshwar;Ginger(Green);Green Ginger;FAQ;3000
Ankleshwar;Green Chilli;Green Chilly;FAQ;1200
Ankleshwar;Lemon;Lemon;FAQ;2500
Ankleshwar;Onion;Medium;FAQ;800
Ankleshwar;Surat Beans (Papadi);Surat Beans (Papadi);FAQ;2200
Ankleshwar;Tomato;Tomato;FAQ;700
Jambusar;Arhar (Tur/Red Gram)(Whole);Other;FAQ;6400
Jambusar;Bajra(Pearl Millet/Cumbu);Other;FAQ;2200
Jambusar;Castor Seed;Other;FAQ;6500
Jambusar;Cotton;Other;FAQ;7600
Jambusar;Jowar(Sorghum);Other;FAQ;2600
Jambusar;Maize;Other;FAQ;2000
Jambusar;Rice;Other;FAQ;3300
Jambusar;Wheat;Other;FAQ;2400
Jambusar(Kaavi);Arhar (Tur/Red Gram)(Whole);Other;FAQ;6500
Jambusar(Kaavi);Bajra(Pearl Millet/Cumbu);Other;FAQ;2300
Jambusar(Kaavi);Castor Seed;Other;FAQ;6200
Jambusar(Kaavi);Cotton;Other;FAQ;7500
Jambusar(Kaavi);Jowar(Sorghum);Other;FAQ;2800
Jambusar(Kaavi);Maize;Other;FAQ;1900
Jambusar(Kaavi);Rice;Other;FAQ;3400
Botad(Haddad);Cotton;Shanker 6 (B) 30mm FIne;FAQ;8355
Dahod;Arhar (Tur/Red Gram)(Whole);Arhar (Whole);FAQ;6750
Dahod;Arhar (Tur/Red Gram)(Whole);Other;FAQ;7550
Dahod;Bengal Gram(Gram)(Whole);Desi (Whole);FAQ;4820
Dahod;Bengal Gram(Gram)(Whole);Other;FAQ;5040
Dahod;Black Gram (Urd Beans)(Whole);Black Gram (Whole);FAQ;7000
Dahod;Castor Seed;Castor seed;FAQ;6450
Dahod;Castor Seed;Other;FAQ;6250
Dahod;Dry Chillies;Dry Chillies;FAQ;22000
Dahod;Green Gram (Moong)(Whole);Green (Whole);FAQ;6600
Dahod;Green Peas;Other;FAQ;3200
Dahod;Maize;White (SAFED);FAQ;2600
Dahod;Maize;Yellow;FAQ;2240
Dahod;Paddy(Dhan)(Common);Paddy Coarse;FAQ;1760
Dahod;Paddy(Dhan)(Common);Paddy fine;FAQ;1950
Dahod;Rice;Coarse;FAQ;4400
Dahod;Sesamum(Sesame,Gingelly,Til);White;FAQ;11000
Dahod;Soyabean;Soyabeen;FAQ;5450
Dahod;Wheat;147 Average;FAQ;2600
Dahod;Wheat;Lokwan;FAQ;2350
Dahod(Veg. Market);Bhindi(Ladies Finger);Bhindi;FAQ;4300
Dahod(Veg. Market);Bitter gourd;Bitter Gourd;FAQ;4200
Dahod(Veg. Market);Bottle gourd;Bottle Gourd;FAQ;1300
Dahod(Veg. Market);Brinjal;Brinjal;FAQ;1200
Dahod(Veg. Market);Cabbage;Cabbage;FAQ;400
Dahod(Veg. Market);Carrot;Carrot;FAQ;1800
Dahod(Veg. Market);Cauliflower;Cauliflower;FAQ;1400
Dahod(Veg. Market);Coriander(Leaves);Coriander;FAQ;1000
Dahod(Veg. Market);Cucumbar(Kheera);Cucumbar;FAQ;2500
Dahod(Veg. Market);Drumstick;Other;FAQ;1500
Dahod(Veg. Market);Elephant Yam (Suran);Other;FAQ;3500
Dahod(Veg. Market);French Beans (Frasbean);Other;FAQ;5000
Dahod(Veg. Market);Garlic;Other;FAQ;5000
Dahod(Veg. Market);Ginger(Green);Green Ginger;FAQ;5000
Dahod(Veg. Market);Green Chilli;Green Chilly;FAQ;3200
Dahod(Veg. Market);Lemon;Other;FAQ;8200
Dahod(Veg. Market);Little gourd (Kundru);Other;FAQ;3200
Dahod(Veg. Market);Mint(Pudina);Mint(Pudina);FAQ;3500
Dahod(Veg. Market);Onion;Onion;FAQ;1000
Dahod(Veg. Market);Onion Green;Onion Green;FAQ;900
Dahod(Veg. Market);Pegeon Pea (Arhar Fali);Other;FAQ;5500
Dahod(Veg. Market);Potato;Potato;FAQ;1100
Dahod(Veg. Market);Pumpkin;Pumpkin;FAQ;1200
Dahod(Veg. Market);Raddish;Raddish;FAQ;700
Dahod(Veg. Market);Ridgeguard(Tori);Ridgeguard(Tori);FAQ;2000
Dahod(Veg. Market);Sweet Potato;Sweet Potato;FAQ;1800
Dahod(Veg. Market);Tomato;Tomato;FAQ;700
Dehgam;Bajra(Pearl Millet/Cumbu);Other;FAQ;2442
Dehgam;Castor Seed;Other;FAQ;6447
Dehgam;Guar;Other;FAQ;5250
Dehgam;Paddy(Dhan)(Common);Other;FAQ;1992
Dehgam;Wheat;Other;FAQ;2187
Dehgam(Rekhiyal);Bajra(Pearl Millet/Cumbu);Other;FAQ;2300
Dehgam(Rekhiyal);Castor Seed;Other;FAQ;6387
Dehgam(Rekhiyal);Guar;Other;FAQ;5175
Dehgam(Rekhiyal);Paddy(Dhan)(Common);Other;FAQ;1837
Dehgam(Rekhiyal);Wheat;Other;FAQ;2137
Mansa(Manas Veg Yard);Bottle gourd;Other;FAQ;1000
Mansa(Manas Veg Yard);Brinjal;Brinjal;FAQ;3000
Mansa(Manas Veg Yard);Brinjal;Round;FAQ;1100
Mansa(Manas Veg Yard);Brinjal;Round/Long;FAQ;2250
Mansa(Manas Veg Yard);Cabbage;Other;FAQ;700
Mansa(Manas Veg Yard);Carrot;Other;FAQ;1900
Mansa(Manas Veg Yard);Cauliflower;Other;FAQ;1000
Mansa(Manas Veg Yard);Green Chilli;Other;FAQ;3000
Mansa(Manas Veg Yard);Methi(Leaves);Methi;FAQ;750
Mansa(Manas Veg Yard);Onion Green;Onion Green;FAQ;1300
Mansa(Manas Veg Yard);Potato;Other;FAQ;700
Mansa(Manas Veg Yard);Tomato;Other;FAQ;700
Bhanvad;Corriander seed;Other;FAQ;5900
Bhanvad;Cotton;Bunny;FAQ;8000
Bhanvad;Cummin Seed(Jeera);Medium;FAQ;24000
Bhanvad;Groundnut;G20;FAQ;6000
Bhanvad;Soyabean;Soyabeen;FAQ;4800
Bhanvad;Wheat;Lokwan;FAQ;2000
Dhrol;Arhar (Tur/Red Gram)(Whole);Other;FAQ;6625
Dhrol;Bengal Gram(Gram)(Whole);Other;FAQ;4375
Dhrol;Castor Seed;Other;FAQ;6120
Dhrol;Cotton;Other;FAQ;7630
Dhrol;Cummin Seed(Jeera);Other;FAQ;23250
Dhrol;Groundnut;Other;FAQ;6200
Dhrol;Mustard;Other;FAQ;4780
Kodinar;Bajra(Pearl Millet/Cumbu);Hybrid;FAQ;2550
Kodinar;Groundnut;G20;FAQ;7000
Kodinar;Jowar(Sorghum);Other;FAQ;5250
Kodinar;Soyabean;Other;FAQ;5050
Kodinar;Wheat;Medium Fine;FAQ;2400
Kodinar(Dollasa);Cotton;Other;FAQ;7750
Mangrol;Bajra(Pearl Millet/Cumbu);Hybrid;FAQ;2480
Mangrol;Bengal Gram(Gram)(Whole);Desi (F.A.Q. Split);FAQ;4575
Mangrol;Corriander seed;Coriander Seed;FAQ;5930
Mangrol;Groundnut;G20;FAQ;7980
Mangrol;Groundnut;Local;FAQ;7915
Mangrol;Wheat;Lok-1;FAQ;2200
Mangrol;Wheat;Rajasthan Tukdi;FAQ;2350
Visavadar;Arhar (Tur/Red Gram)(Whole);Other;FAQ;7140
Visavadar;Cotton;Other;FAQ;8040
Visavadar;Green Gram (Moong)(Whole);Other;FAQ;6665
Visavadar;Ground Nut Seed;Ground Nut Seed;FAQ;7415
Visavadar;Groundnut;Other;FAQ;5580
Visavadar;Kulthi(Horse Gram);Other;FAQ;4495
Visavadar;Wheat;Lokwan Gujrat;FAQ;2200
Rapar;Castor Seed;Castor seed;FAQ;6553
Rapar;Guar Seed(Cluster Beans Seed);Whole;FAQ;4230
Rapar;Raya;PBR-91;FAQ;4765
Mehmadabad;Wheat;Lokwan Gujrat;FAQ;2300
Vankaner;Castor Seed;Other;FAQ;6300
Vankaner;Cotton;Other;FAQ;7750
Vankaner;Cummin Seed(Jeera);Other;FAQ;26750
Vankaner;Mustard;Other;FAQ;6200
Vankaner;Wheat;Other;FAQ;2200
Vankaner(Sub yard);Bhindi(Ladies Finger);Other;FAQ;6000
Vankaner(Sub yard);Brinjal;Other;FAQ;2500
Vankaner(Sub yard);Cabbage;Other;FAQ;750
Vankaner(Sub yard);Capsicum;Other;FAQ;1500
Vankaner(Sub yard);Cauliflower;Other;FAQ;1250
Vankaner(Sub yard);Guar;Other;FAQ;8500
Vankaner(Sub yard);Lemon;Other;FAQ;6500
Vankaner(Sub yard);Tomato;Other;FAQ;1500
Sami;Castor Seed;Castor seed;FAQ;6550
Sami;Mustard;Big 100 Kg;FAQ;5625
Dhoraji;Arhar (Tur/Red Gram)(Whole);Local;FAQ;7080
Dhoraji;Bengal Gram(Gram)(Whole);Bold;FAQ;4555
Dhoraji;Castor Seed;Castor seed;FAQ;6430
Dhoraji;Corriander seed;Full Green;FAQ;5830
Dhoraji;Cotton;H.B (Unginned);FAQ;7780
Dhoraji;Groundnut;Local;FAQ;6930
Dhoraji;Onion;Nasik;FAQ;580
Dhoraji;Soyabean;Yellow;FAQ;5130
Dhoraji;Wheat;Lokwan;FAQ;2175
Rajkot;Arhar (Tur/Red Gram)(Whole);Arhar (Whole);FAQ;7630
Rajkot;Bajra(Pearl Millet/Cumbu);Deshi;FAQ;2000
Rajkot;Bengal Gram(Gram)(Whole);Desi (Whole);FAQ;4600
Rajkot;Black Gram (Urd Beans)(Whole);Desi;FAQ;7250
Rajkot;Castor Seed;Caster;FAQ;6375
Rajkot;Corriander seed;Coriander Seed;FAQ;6350
Rajkot;Cotton;Narma BT Cotton;FAQ;8150
Rajkot;Cummin Seed(Jeera);Cummin Seed(Jeera);FAQ;27500
Rajkot;Dry Chillies;Red;FAQ;17750
Rajkot;Garlic;Garlic;FAQ;1575
Rajkot;Green Gram (Moong)(Whole);Green (Whole);FAQ;7300
Rajkot;Ground Nut Seed;Ground Nut Seed;FAQ;9600
Rajkot;Groundnut;Bold;FAQ;7000
Rajkot;Groundnut;G20;FAQ;6900
Rajkot;Jowar(Sorghum);Jowar ( White);FAQ;4750
Rajkot;Jowar(Sorghum);Jowar (Yellow);FAQ;2750
Rajkot;Methi Seeds;Methiseeds;FAQ;5900
Rajkot;Mustard;Mustard;FAQ;4900
Rajkot;Sesamum(Sesame,Gingelly,Til);Black;FAQ;13450
Rajkot;Sesamum(Sesame,Gingelly,Til);White;FAQ;14500
Rajkot;Wheat;Lokwan;FAQ;2230
Rajkot;Wheat;Sharbati;FAQ;2480
Rajkot(Ghee Peeth);Bhindi(Ladies Finger);Bhindi;FAQ;4250
Rajkot(Ghee Peeth);Bottle gourd;Bottle Gourd;FAQ;1350
Rajkot(Ghee Peeth);Brinjal;Brinjal;FAQ;2250
Rajkot(Ghee Peeth);Cluster beans;Cluster Beans;FAQ;6250
Rajkot(Ghee Peeth);Coriander(Leaves);Coriander;FAQ;600
Rajkot(Ghee Peeth);Ginger(Green);Green Ginger;FAQ;4750
Rajkot(Ghee Peeth);Green Chilli;Green Chilly;FAQ;2000
Rajkot(Ghee Peeth);Lemon;Lemon;FAQ;6000
Rajkot(Ghee Peeth);Onion;Onion;FAQ;475
Rajkot(Ghee Peeth);Potato;Desi;FAQ;500
Rajkot(Ghee Peeth);Tomato;Tomato;FAQ;1250
Modasa;Castor Seed;Castor seed;FAQ;6470
Modasa;Cotton;Narma BT Cotton;FAQ;7305
Modasa;Maize;Hybrid Red (Cattle Feed);FAQ;2145
Modasa;Mustard;Lohi Black;FAQ;4505
Modasa;Soyabean;Yellow;FAQ;4870
Modasa;Wheat;Lokwan Gujrat;FAQ;2355
Modasa(Tintoi);Maize;Hybrid Red (Cattle Feed);FAQ;2035
Modasa(Tintoi);Mustard;Mustard;FAQ;4300
Modasa(Tintoi);Soyabean;Yellow;FAQ;4650
Modasa(Tintoi);Wheat;Lokwan;FAQ;2250
Surat;Banana - Green;Other;FAQ;1600
Surat;Beetroot;Other;FAQ;1300
Surat;Bhindi(Ladies Finger);Other;FAQ;3750
Surat;Bitter gourd;Other;FAQ;3250
Surat;Bottle gourd;Other;FAQ;1300
Surat;Brinjal;Other;FAQ;1000
Surat;Cabbage;Other;FAQ;1000
Surat;Capsicum;Other;FAQ;2150
Surat;Carrot;Other;FAQ;1450
Surat;Cauliflower;Other;FAQ;1550
Surat;Cluster beans;Other;FAQ;5000
Surat;Cowpea(Veg);Other;FAQ;4750
Surat;Cucumbar(Kheera);Other;FAQ;2000
Surat;Drumstick;Other;FAQ;3000
Surat;Elephant Yam (Suran);Other;FAQ;2750
Surat;French Beans (Frasbean);Other;FAQ;2250
Surat;Ginger(Green);Other;FAQ;4400
Surat;Green Chilli;Other;FAQ;2200
Surat;Indian Beans (Seam);Other;FAQ;1600
Surat;Lemon;Other;FAQ;4750
Surat;Little gourd (Kundru);Other;FAQ;3750
Surat;Mango (Raw-Ripe);Other;FAQ;3875
Surat;Onion;Other;FAQ;850
Surat;Papaya (Raw);Other;FAQ;1150
Surat;Peas cod;Other;FAQ;2000
Surat;Pegeon Pea (Arhar Fali);Other;FAQ;4000
Surat;Pointed gourd (Parval);Other;FAQ;4750
Surat;Potato;Other;FAQ;825
Surat;Pumpkin;Other;FAQ;800
Surat;Rat Tail Radish (Mogari);Other;FAQ;3125
Surat;Ridgeguard(Tori);Other;FAQ;3125
Surat;Sponge gourd;Other;FAQ;1850
Surat;Surat Beans (Papadi);Other;FAQ;4500
Surat;Sweet Potato;Other;FAQ;2000
Surat;Tomato;Other;FAQ;1050
Surat;Turmeric (raw);Other;FAQ;3250
Chotila;Cotton;Shanker 6 (B) 30mm FIne;FAQ;8050
Chotila;Wheat;Local;FAQ;2350
Dasada Patadi;Castor Seed;Castor seed;FAQ;6450
Dasada Patadi;Corriander seed;Coriander Seed;FAQ;4227,5
Dasada Patadi;Cummin Seed(Jeera);Cummin Seed(Jeera);FAQ;34027,5
Dasada Patadi;Guar Seed(Cluster Beans Seed);Whole;FAQ;4837,5
Dasada Patadi;Lak(Teora);Lak (Whole);FAQ;7192,5
Dasada Patadi;Mustard;Mustard;FAQ;5075
Halvad;Bengal Gram(Gram)(Whole);Other;FAQ;4500
Halvad;Castor Seed;Other;FAQ;6550
Halvad;Corriander seed;Other;FAQ;6250
Halvad;Cotton;Other;FAQ;7900
Halvad;Cummin Seed(Jeera);Other;FAQ;27775
Halvad;Mustard;Mustard;FAQ;5000
Halvad;Mustard;Rai UP;FAQ;6450
Vadhvan;Amla(Nelli Kai);Amla;FAQ;2750
Vadhvan;Banana - Green;Banana - Green;FAQ;1250
Vadhvan;Bhindi(Ladies Finger);Bhindi;FAQ;4250
Vadhvan;Bitter gourd;Bitter Gourd;FAQ;4250
Vadhvan;Bottle gourd;Bottle Gourd;FAQ;1250
Vadhvan;Brinjal;Brinjal;FAQ;1750
Vadhvan;Cabbage;Cabbage;FAQ;625
Vadhvan;Carrot;Carrot;FAQ;1750
Vadhvan;Cauliflower;Cauliflower;FAQ;1750
Vadhvan;Coriander(Leaves);Coriander;FAQ;750
Vadhvan;Cucumbar(Kheera);Cucumbar;FAQ;1250
Vadhvan;Drumstick;Drumstick;FAQ;2750
Vadhvan;Elephant Yam (Suran);Elephant Yam (Suran);FAQ;3750
Vadhvan;French Beans (Frasbean);French Beans (Frasbean);FAQ;1250
Vadhvan;Garlic;Garlic;FAQ;4500
Vadhvan;Green Chilli;Green Chilly;FAQ;2250
Vadhvan;Guar;Gwar;FAQ;9500
Vadhvan;Lemon;Lemon;FAQ;7750
Vadhvan;Methi(Leaves);Methi;FAQ;1250
Vadhvan;Onion;Onion;FAQ;1250
Vadhvan;Onion Green;Onion Green;FAQ;750
Vadhvan;Papaya;Papaya;Medium;2250
Vadhvan;Peas Wet;Peas Wet;FAQ;2250
Vadhvan;Potato;Potato;FAQ;1250
Vadhvan;Raddish;Raddish;FAQ;1250
Vadhvan;Ridgeguard(Tori);Ridgeguard(Tori);FAQ;2750
Vadhvan;Spinach;Spinach;FAQ;750
Vadhvan;Sweet Potato;Sweet Potato;FAQ;3000
Vadhvan;Tinda;Tinda;FAQ;4500
Vadhvan;Tomato;Tomato;FAQ;750
Vadhvan;Water Melon;Water Melon;Medium;1250
Bodeli;Cotton;Shanker 6 (B) 30mm FIne;FAQ;7770
Padra;Bhindi(Ladies Finger);Other;FAQ;4000
Padra;Bitter gourd;Other;FAQ;3750
Padra;Bottle gourd;Other;FAQ;1400
Padra;Brinjal;Other;FAQ;400
Padra;Cabbage;Other;FAQ;225
Padra;Carrot;Other;FAQ;1000
Padra;Cauliflower;Other;FAQ;1000
Padra;Coriander(Leaves);Other;FAQ;1250
Padra;Cucumbar(Kheera);Other;FAQ;2000
Padra;Drumstick;Other;FAQ;1750
Padra;Elephant Yam (Suran);Other;FAQ;2625
Padra;Ginger(Green);Other;FAQ;3750
Padra;Green Chilli;Green Chilly;FAQ;2750
Padra;Indian Beans (Seam);Other;FAQ;1350
